imsi_prefix,date,Incoming data,Outgoing data,cdrs
27001-Luxembourg P&T-LUXPT,11-05-2018,66030,11893,31929
27077-Tango -LUXTG,11-05-2018,3792,2168,764
27099-VOX Mobile - Luxembourg-LUXVM,11-05-2018,28426,3173,4792
27201-Vodafone Ireland-IRLEC,11-05-2018,3328,932,18721
27202-O2 Ireland-IRLDF,11-05-2018,15513,3382,64928
27203-Meteor-IRLME,11-05-2018,602692,77693,38782
27401-Landssimi Islands -ISLPS,11-05-2018,1853,258,329
27402-TAL -ISLTL,11-05-2018,3091,1014,972
27411-Nova Iceland-ISLK9,11-05-2018,8034,2264,1576
27411-Nova Efh-ISLNO,11-05-2018,8034,2264,1576
27601-AMC (Albanian Mobile) -ALBAM,11-05-2018,215,26,75
27801-Vodafone Malta-MLTTL,11-05-2018,933,458,164
27821-Go Mobile -MLTGO,11-05-2018,4376,871,971
28001-Cyprus Telecommunications Author-CYPCT,11-05-2018,507,119,253
28010-Scancom (Cyprus)-CYPSC,11-05-2018,16283,3773,2040
28020-CYPRUS Primtel-CYPPT,11-05-2018,223,14,22
28310-Orange-ARMOR,11-05-2018,12,3,4
28401-MobiTel AD Bulgaria-BGR01,11-05-2018,1132,154,304
28403-Bulgarian Telecom -  Bulgaria-BGRVA,11-05-2018,23528,4681,3208
28405-Globul - Cosmo Bulgaria -BGRCM,11-05-2018,228971,32984,17123
28601-Turkcell-TURTC,11-05-2018,154912,34207,8592
28603-IS TIM-TURIS,11-05-2018,9183,2444,1218
28604-Aycell - Turkey-TURAC,11-05-2018,0,0,1
29001-Tele Greenland -GRLTG,11-05-2018,69,6,7
29340-SI-Mobil-SVNSM,11-05-2018,938,114,176
29341-Mobitel Slovenia-SVNMT,11-05-2018,9487,1265,655
29364-T-2 d.o.o. Slovenia-SVNFT,11-05-2018,437,51,119
29401-Makedonski Telekomunikacii-MKDMM,11-05-2018,2,1,3
29502-VIAG Europlatform-LIEK9,11-05-2018,383,21,4
29502-VIAG Europlatform-LIEVE,11-05-2018,383,21,4
29505-Mobilkom-LIEMK,11-05-2018,883,594,1851
29701-Telenor Montenegro-MNEPM,11-05-2018,2,1,2
29702-T-Mobile Montenegro-MNETM,11-05-2018,0,0,36
30222-Telus Canada-CANTS,11-05-2018,41184,11873,7901
30237-Microcell (Fido)-CANMC,11-05-2018,4220,611,1498
30261-Bell Mobility-CANBM,11-05-2018,32518,9911,6677
30272-Rogers Wireless -CANRW,11-05-2018,14238,4000,6624
31017-Cingular (Pacific Bell Services)-USAPB,11-05-2018,1853,1991,12370
31026-T-Mobile- USAW6-USAW6,11-05-2018,540567,214953,130793
31038-AT&T Mobility P.Rico Puerto Rico-PRIAT,11-05-2018,0,0,1
31038-AT&T Wireless-USAAT,11-05-2018,0,0,1
31041-Cingular (Genesis)-USACG,11-05-2018,844990,218893,122880
31148-Verizon-USAVZ,11-05-2018,103,59,36
33402-Radiomovil-MEXTL,11-05-2018,1378,367,844
33403-Mexico - Telefonica-MEXMS,11-05-2018,40,11,8
33405-Iusacell Mexico-MEXIU,11-05-2018,9,5,18
33805-Digicel Barbados Barbados-BRBDC,11-05-2018,21,9,111
33805-Digicel Mossel-JAMDC,11-05-2018,21,9,111
33818-C&W/Jamaica-JAMCW,11-05-2018,0,0,31
34001-Orange Caraïbe (FWI)-GLP01,11-05-2018,3125,241,143
34020-FWI Bouygues Telecom-FRAF4,11-05-2018,110,8,23
34260-C&W/Barbados-BRBCW,11-05-2018,0,0,2
34492-Antigua C&W-ATGCW,11-05-2018,0,0,1
34614-C&W/Cayman-CYMCW,11-05-2018,4,2,27
34817-Cable Wireless-VGBCW,11-05-2018,8,1,3
35000-Bermuda Digital-BMUBD,11-05-2018,4,1,14
35211-Grenada-GRDCW,11-05-2018,4,0,4
35486-Montserrat C & W-MSRCW,11-05-2018,0,0,1
35611-St Kitts - C & W-KNACW,11-05-2018,0,0,3
35811-ST Lucia-LCACW,11-05-2018,0,0,14
36584-Anguillia C&W-AIACW,11-05-2018,0,0,10
36611-Dominica - C & W-DMACW,11-05-2018,0,0,4
37001-Orange Dominican Republic-DOM01,11-05-2018,72,8,6
37413-Digicel Trinidad-TTODL,11-05-2018,0,0,1
37635-Turks & Calcos - C & W-TCACW,11-05-2018,0,0,6
40001-Azercell Telecom-AZEAC,11-05-2018,0,0,5
40002-Bakcell -AZEBC,11-05-2018,0,0,1
40101-Kar-tel -KAZKT,11-05-2018,43,4,14
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,11-05-2018,1541,646,577
40403-Airtel Bharti [Himachal Pradesh]-INDBL,11-05-2018,107,38,27
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,11-05-2018,943,550,73
40407-Idea Cellular [Andhra Pradesh] I-IND07,11-05-2018,27,60,15
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,11-05-2018,11374,5089,2404
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,11-05-2018,696,167,206
40412-Escotel [Haryana] INDEH - 40412-INDEH,11-05-2018,31,14,10
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,11-05-2018,47,4,35
40419-Escotel [Kerala] INDEK - 40419-INDEK,11-05-2018,4,1,5
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,11-05-2018,8112,1676,882
40422-Idea Cellular [Maharashtra] INDB-INDBO,11-05-2018,87,277,58
40424-Idea Cellular [Gujarat] INDBI - -INDBI,11-05-2018,10,2,11
40427-BPL Cellular [Maharashtra]-INDBM,11-05-2018,265,307,83
40430-Hutchison [Calcutta] INDCC - 404-INDCC,11-05-2018,490,61,62
40431-Airtel Bharti [Calcutta] INDMT --INDMT,11-05-2018,1021,553,495
40440-Airtel Bharti [Chennai] INDSC - -INDSC,11-05-2018,6228,2500,911
40443-BPL Cellular [Tamil Nadu] INDBT--INDBT,11-05-2018,118,69,52
40445-Airtel Bharti [Karnataka] INDJB -INDJB,11-05-2018,10740,2551,1913
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,11-05-2018,115,25,51
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,11-05-2018,5564,5140,1189
40456-Escotel [UP West]-INDEU,11-05-2018,7,2,4
40470-Airtel India [Rajasthan] INDH1-INDH1,11-05-2018,582,200,100
40490-Airtel Bharti [Maharashtra]-INDA2,11-05-2018,1573,422,1460
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,11-05-2018,8159,1981,7359
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,11-05-2018,147,87,97
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,11-05-2018,647,103,195
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,11-05-2018,165,62,179
40496-Airtel Bharti [Haryana]-INDA5,11-05-2018,949,56,20
40497-Airtel Bharti [UP West] INDA6 - -INDA6,11-05-2018,515,63,92
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,11-05-2018,528,148,194
40555-Bharti Airtel Jammu & Kashmir-IND13,11-05-2018,46,3,1
40579-Idea Cellular Mumbai -INDIM,11-05-2018,57,15,6
40585-Idea Cellular Chennai-INDIT,11-05-2018,32,11,9
