imsi_prefix,date,Incoming data,Outgoing data,cdrs
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,14-05-2018,215,65,119
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,14-05-2018,1030,121,288
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,14-05-2018,1029,140,127
40496-Airtel Bharti [Haryana]-INDA5,14-05-2018,417,26,37
40497-Airtel Bharti [UP West] INDA6 - -INDA6,14-05-2018,266,69,94
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,14-05-2018,134,123,273
40555-Bharti Airtel Jammu & Kashmir-IND13,14-05-2018,12,5,1
40556-Bharti Airtel Assam India-IND15,14-05-2018,372,522,52
40579-Idea Cellular Mumbai -INDIM,14-05-2018,40,16,22
41001-Mobilink-PAKMK,14-05-2018,33,4,9
41301-Mobitel - Sri Lanka-LKA71,14-05-2018,323,189,16
41302-MTN Sri Lanka-LKADG,14-05-2018,3140,742,2735
41305-Bharti Airtel Lanka-LKAAT,14-05-2018,1,1,6
41501-FTML Lebanon-LBNFL,14-05-2018,21,5,10
41503-Libancell -LBNLC,14-05-2018,1,0,1
41601-MTS Fastlink-JORFL,14-05-2018,0,0,1
41677-Mobilecom -JORMC,14-05-2018,2,2,5
41805-Asiacell - Iraq-IRQAC,14-05-2018,23,4,9
41820-Atheer - Iraq-IRQAT,14-05-2018,0,0,6
41840-Korek Telecom LTD - Iraq-IRQKK,14-05-2018,4,1,6
41903-Wataniya Telecom-KWTNM,14-05-2018,4191,2024,353
41904-Viva Kuwait -KWTKT,14-05-2018,16,4,7
42001-Saudi Telephone Company-SAUAJ,14-05-2018,17028,5326,1861
42003-Etihad Etisalat - Saudi Arabia-SAUET,14-05-2018,56858,12913,2139
42202-GTO Oman-OMNGT,14-05-2018,293,28,41
42203-Oman Mobile - Oman-OMNNT,14-05-2018,55,9,17
42402-Etisalat-ARETC,14-05-2018,20617,4162,3134
42403-United Arab Emirates-AREDU,14-05-2018,3022,1727,1076
42501-Partner Communication-ISR01,14-05-2018,50503,13364,63951
42502-Cellcom-ISRCL,14-05-2018,11259,2137,1282
42503-Pelephone, Israel-ISRPL,14-05-2018,514,81,130
42601-Bahrain Telecommunications-BHRBT,14-05-2018,283,137,11
42701-Qatar Telekom -QATQT,14-05-2018,66681,16118,5037
43211-Iran TeleCom Co-IRN11,14-05-2018,189,77,70
44010-NTT DoCoMo-JPNDO,14-05-2018,13449,2085,3610
44020-J-Phone-JPNJP,14-05-2018,583,245,247
44050-KDDI-JPNKD,14-05-2018,12295,1211,586
44051-KDDI Japan-JPNKI,14-05-2018,1854,741,406
45005-SK Korea-KORSK,14-05-2018,7196,1620,4416
45006-LG U+ South Korea-KORLU,14-05-2018,9313,2313,1121
45008-KT Freetel 3G-KORKF,14-05-2018,3392,970,648
45202-GPC Vietnam-VNMVI,14-05-2018,0,1,18
45400-Hong Kong CSL -HKGTC,14-05-2018,7275,2001,845
45403-Hutchison 3G (Hong Kong)-HKGH3,14-05-2018,328,99,86
45406-SmarTone Mobile Hong Kong-HKGSM,14-05-2018,29792,7772,2402
45412-Peoples Telephone Company -HKGPP,14-05-2018,2569,722,198
45419-Sunday 3G - Hong Kong-HKGM3,14-05-2018,2470,441,127
46000-China Telecom-CHNCT,14-05-2018,92695,35549,8755
46001-China Unicom-CHNCU,14-05-2018,15916,5903,6758
46002-China Mobile - China-CHNCM,14-05-2018,13341,5212,1700
46007-China Mobile 3rd-CHNTD,14-05-2018,2075,834,338
46601-Far EasTone Telecommunications-TWNFE,14-05-2018,14,4,15
46692-Chungwa Telecom LDM-TWNLD,14-05-2018,7878,836,231
46697-Taiwan Cellular Corp-TWNPC,14-05-2018,5867,632,129
47001-GrameenPhone-BGDGP,14-05-2018,70,4,8
50216-DiGi Telecommunications -MYSMT,14-05-2018,13383,2637,4818
50219-Celcom-MYSCC,14-05-2018,28,8,21
50501-Telstra -AUSTA,14-05-2018,117727,32062,33665
50502-Optus Communications-AUSOP,14-05-2018,22592,7623,24867
51001-PT Satelindo Palapa-IDNSL,14-05-2018,921,77,56
51010-PT Telkomsel-IDNTS,14-05-2018,4743,1148,439
51502-Globe Telecom -PHLGT,14-05-2018,1052,283,24
52000-Thailand, True Move-THACT,14-05-2018,233,521,113
52003-AIS-THAWN,14-05-2018,194294,35945,10011
52004-Real Future Thailand-THACA,14-05-2018,276,26,27
52005-Thailand DTAC-THADT,14-05-2018,2211,586,143
52018-Total Access Communications-THAWP,14-05-2018,1,0,3
52501-Singtel GSM 900-SGPST,14-05-2018,27402,8244,3272
52503-MobileOne-SGPM1,14-05-2018,0,0,3
52505-StarHub-SGPSH,14-05-2018,2976,1253,388
52811-DST Communications-BRNDS,14-05-2018,0,0,1
53001-Vodafone New Zealand-NZLBS,14-05-2018,823,196,348
53005-Telecom-NZLTM,14-05-2018,12459,4228,4253
53024-NZ Communications-NZLNH,14-05-2018,685,159,359
60201-Mobilnil-EGYAR,14-05-2018,2706,1485,1147
60203-Etisalat - Egypt-EGYEM,14-05-2018,272,117,32
60303-Wataniya-DZAWT,14-05-2018,0,6,21
60400-Medi Telecom-MARMT,14-05-2018,382,30,1716
60401-IAM-MARM1,14-05-2018,0,2,2
60402-Wana Morocco-MARM3,14-05-2018,0,0,2
60501-Orange Tunisia-TUNOR,14-05-2018,0,0,1
60801-Sonatel-SENAZ,14-05-2018,3,2,1
61203-Orange Cote d'Ivoire-CIV03,14-05-2018,4,1,6
61701-Cellplus Mobile Communications-MUSCP,14-05-2018,1,0,12
62001-Scancom -GHASC,14-05-2018,1229,398,309
62006-Airtel Ghana-GHAZN,14-05-2018,0,6,124
62130-MTN-NGAMN,14-05-2018,1050,630,4682
62150-Globacom - Nigeria-NGAGM,14-05-2018,85,43,30
62160-Etisalat Nigeria-NGAEM,14-05-2018,285,111,3348
62402-Orange Cameroon-CMR02,14-05-2018,2,0,2
63102-Unitel-AGOUT,14-05-2018,0,1,42
63510-Rwandacell - Rwanda-RWAMN,14-05-2018,0,1,22
63902-Safaricom -KENSA,14-05-2018,131,53,300
63903-KenCell -KENKC,14-05-2018,45,8,12
63907-Orange Kenya (Telkom)-KENFT,14-05-2018,6,1,6
63907-Telekom Kenya-KENK9,14-05-2018,6,1,6
63907-Telkom Kenya Kenya-KENTK,14-05-2018,6,1,6
64005-Celtel Tanzania-TZACT,14-05-2018,0,1,21
64101-Celtel Uganda-UGACE,14-05-2018,0,3,491
64110-MTN-UGAMN,14-05-2018,0,0,1
64804-Econet-ZWEET,14-05-2018,13,3,46
65202-Orange Botswana-BWAVC,14-05-2018,0,0,8
65501-Vodacom South Africa-ZAFVC,14-05-2018,23,0,4
65507-Cell C-ZAFCC,14-05-2018,23,3,1
65510-MTN South Africa-ZAFMN,14-05-2018,1789,451,3780
71401-Cable & Wireless-PANCW,14-05-2018,4,0,6
72207-Argentina Telefonica-ARGTM,14-05-2018,156,155,50
72234-Personal Telecom-ARGTP,14-05-2018,1009,271,538
72402-TIM Region 2 Rio Norte-BRARN,14-05-2018,952,720,741
72403-TIM Region 3 Sau Paulo-BRASP,14-05-2018,467,216,648
72404-TIM Region 1 Cellular Centro-BRACS,14-05-2018,283,88,496
72406-Vivo 2-BRAV2,14-05-2018,30,18,33
72410-Vivo 1-BRAV1,14-05-2018,562,368,149
72411-Vivo 3-BRAV3,14-05-2018,129,62,112
72423-Telemig - Brazil-BRATC,14-05-2018,19,28,24
72431-TNL (Oi)-BRATM,14-05-2018,0,0,1
73001-Entel Telefonia Movil -CHLMV,14-05-2018,83,56,81
73212-Telefonica Moviles-COLTM,14-05-2018,138,266,49
73602-Entel Bolivia -BOLME,14-05-2018,9,2,1
73801-Digicel Guyana-GUYUM,14-05-2018,0,0,4
74000-Otecel-ECUOT,14-05-2018,0,0,8
74801-Antel-URYAN,14-05-2018,90,14,16
90131-Orange France-AAZOR,14-05-2018,1,1,7
90137-Transatel-AAZTR,14-05-2018,5728,1938,170
90140-Telekom Deutschland Global SIM-AAZTD,14-05-2018,11,27,15
20201-Cosmote Mobile Telecom-GRCCO,15-05-2018,132812,27404,19483
20205-Vodafone Greece-GRCPF,15-05-2018,976,104,212
20210-Stet Hellas Telecommunications-GRCSH,15-05-2018,24375,4152,4008
20404-Vodafone Netherlands-NLDLT,15-05-2018,20002,11694,779945
20408-KPN Tel Netherlands -NLDPT,15-05-2018,1309444,190127,1006914
20412-Telfort-NLDTM,15-05-2018,5997,1287,1304
20416-T-Mobile Netherlands-NLDPN,15-05-2018,924892,151772,58169
20420-Orange Netherlands-NLDDT,15-05-2018,9,9,20
20601-Belgacom Mobile -BELTB,15-05-2018,34996,9410,7599
20610-Mobistar-BELMO,15-05-2018,197300,36629,105201
20620-Base-BELKO,15-05-2018,9827,1500,892
20801-Orange France-FRAF1,15-05-2018,3797555,486301,567685
20810-SFR France-FRAF2,15-05-2018,0,0,42
20815-Free Mobile -FRAF5,15-05-2018,1,0,6
20815-France Free Mobile-FRAFM,15-05-2018,1,0,6
20820-Bouygues Telecom-FRAF3,15-05-2018,966607,109767,105488
21401-Vodafone Espaqa-ESPAT,15-05-2018,18986,2704,4190
21403-Amena-ESPRT,15-05-2018,1430504,198719,121165
21404-Xfera Moviles-ESPXF,15-05-2018,298017,43987,16435
21407-Telefonica Moviles-ESPTE,15-05-2018,59259,10241,101085
21421-Jazztel Spain -ESPJZ,15-05-2018,14877,1854,1751
21601-Pannon GSM-HUNH1,15-05-2018,81269,13014,8681
21630-Westel 900 GSM-HUNH2,15-05-2018,208128,36711,19076
21670-Vodafone Hungary-HUNVR,15-05-2018,2231,138,202
21805-MOBIS-BIHMS,15-05-2018,13,5,8
21901-HT Mobile-HRVCN,15-05-2018,70054,10190,5457
21910-VIP Net GSM -HRVVI,15-05-2018,93,19,48
22001-Mobtel-YUGMT,15-05-2018,81,13,30
22003-Telekom Srbija-YUGTS,15-05-2018,101,19,46
22201-TIM Italy -ITASI,15-05-2018,600618,80271,64395
22210-Vodafone Omnitel-ITAOM,15-05-2018,20852,4151,4991
22288-Wind Italy-ITAWI,15-05-2018,602888,77316,72141
22299-Hutchinson 3G - Italy-ITAH3,15-05-2018,22013,2691,3756
22601-Mobifon -ROMMF,15-05-2018,12135,1266,1992
22603-Cosmorom-ROMCS,15-05-2018,140010,25212,12642
22610-Orange Romania-ROMMR,15-05-2018,727072,114783,47825
22801-Swisscom-CHEC1,15-05-2018,203823,44131,27615
22802-sunrise-CHEDX,15-05-2018,34558,6079,6793
22803-Orange Switzerland-CHEOR,15-05-2018,63001,17097,6952
23001-T-Mobile Czech-CZERM,15-05-2018,261372,33463,19025
23002-Eurotel Praha -CZEET,15-05-2018,945,210,366
23003-Cesky Mobil -CZECM,15-05-2018,7967,1219,978
23101-Orange Slovakia-SVKGT,15-05-2018,76953,13653,7124
23102-Eurotel Bratislava-SVKET,15-05-2018,65983,10688,6396
23106-Telefonica o2-SVKO2,15-05-2018,565,94,304
23201-Mobilkom Austria-AUTPT,15-05-2018,773,159,4229
23203-T-Mobile Austria-AUTMM,15-05-2018,170084,36639,731155
23205-Connect -AUTCA,15-05-2018,1484,225,808
23207-Tele Ring Telekom -AUTTR,15-05-2018,31270,5031,4372
23401-MCOM UK-GBRYC,15-05-2018,5533736,492760,179857
23403-Airtel-GBRAJ,15-05-2018,481,73,224
23418-Cloud 9-GBRC9,15-05-2018,79,9,60
23450-Jersey Telecoms -GBRJT,15-05-2018,10572,9887,233686
23455-Guernsey Telecom-GBRGT,15-05-2018,798,269,2359
23458-Manx Telecom-GBRMT,15-05-2018,7184,3388,206670
23801-Tele Danmark Mobil-DNKTD,15-05-2018,341528,52788,20368
23802-Sonofon -DNKDM,15-05-2018,152392,30477,267576
23806-Hi3G - Denmark-DNKHU,15-05-2018,278,63,152
23820-Telia Mobile (Denmark)-DNKIA,15-05-2018,230470,33317,14009
24001-Telia Mobitel (Sweden)-SWETR,15-05-2018,634147,93296,41331
24002-HI 3G-SWEHU,15-05-2018,131,37,117
24006-Telenor Sweden Sweden-SWETG,15-05-2018,16,1,6
24007-Tele2 AB-SWEIQ,15-05-2018,371407,60163,136527
24008-Vodafone Sweden-SWEEP,15-05-2018,202810,23950,388378
24042-Sweden Telenor-SWECN,15-05-2018,67,109,97206
24201-Telenor Mobil -NORTM,15-05-2018,727994,94639,124278
24202-NetCom-NORNC,15-05-2018,382927,55855,39990
24205-Telia Norge Norway-NORNN,15-05-2018,72684,9721,16533
24405-Radiolinja Finland-FINRL,15-05-2018,2179,497,625
24412-Finnish 2G-FIN2G,15-05-2018,15612,1409,14924
24421-Elisa (2nd code)-FINES,15-05-2018,102,13,51
24491-Sonera Corporation-FINTF,15-05-2018,274544,43618,13054
24601-Omnitel Lithuania-LTUOM,15-05-2018,60217,10238,7453
24602-Bite GSM-LTUMT,15-05-2018,17,8,22
24603-Tele2-LTU03,15-05-2018,95574,15337,15210
24701-Latvian Mobile Telephone-LVALM,15-05-2018,107274,15781,7709
24702-Baltcom GSM -LVABC,15-05-2018,60725,7421,4893
24801-Estonian Mob Tel-ESTEM,15-05-2018,56269,8825,4137
24802-Radiolinja Estonia-ESTRE,15-05-2018,1048,129,137
24803-Estonia Ritabell (Tele2)-ESTRB,15-05-2018,23323,4071,19554
25001-MTS-RUS01,15-05-2018,9388,2245,1703
25002-MegaFon -RUSNW,15-05-2018,3438,1351,667
25099-VimpelCom-RUSBD,15-05-2018,12965,3561,14857
25501-Ukraine Mobile Communications-UKRUM,15-05-2018,22,4,19
25503-Kyvistar GSM-UKRKS,15-05-2018,7007,1855,3088
25506-Astelit LLC-UKRAS,15-05-2018,4495,950,727
25901-Voxtel-MDAVX,15-05-2018,101,38,27
26001-Polkomtel -POLKM,15-05-2018,247925,29237,22240
26002-Era -POL02,15-05-2018,428871,57835,39022
26003-PTK Centeltel -POL03,15-05-2018,677025,89102,79723
26006-P4 - 3G Poland-POLP4,15-05-2018,365,132,627
26201-T-Mobile Germany-DEUD1,15-05-2018,1687113,335526,1052002
26202-Vodafone Germany-DEUD2,15-05-2018,10246,2324,4573
26203-Eplus -DEUE1,15-05-2018,10208,2246,3855
26207-O2 Germany-DEUE2,15-05-2018,51535,10321,13036
26601-Gibtel Telecommunications -GIBGT,15-05-2018,2221,454,357
26801-Vodafone Portugal-PRTTL,15-05-2018,3448,673,841
26803-Optimus -PRTOP,15-05-2018,138299,20498,8823
26806-TMN-PRTTM,15-05-2018,98618,14345,11273
27001-Luxembourg P&T-LUXPT,15-05-2018,75374,10551,47217
27077-Tango -LUXTG,15-05-2018,4240,867,479
27099-VOX Mobile - Luxembourg-LUXVM,15-05-2018,21907,2792,4424
27201-Vodafone Ireland-IRLEC,15-05-2018,7802,1852,28405
27202-O2 Ireland-IRLDF,15-05-2018,10968,2510,118721
27203-Meteor-IRLME,15-05-2018,591095,71273,38510
27401-Landssimi Islands -ISLPS,15-05-2018,1747,213,190
27402-TAL -ISLTL,15-05-2018,3686,361,407
27411-Nova Iceland-ISLK9,15-05-2018,6549,1475,673
27411-Nova Efh-ISLNO,15-05-2018,6549,1475,673
27601-AMC (Albanian Mobile) -ALBAM,15-05-2018,169,20,136
27801-Vodafone Malta-MLTTL,15-05-2018,1091,225,374
27821-Go Mobile -MLTGO,15-05-2018,5826,1207,1355
28001-Cyprus Telecommunications Author-CYPCT,15-05-2018,315,91,186
28010-Scancom (Cyprus)-CYPSC,15-05-2018,19346,3188,2535
28020-CYPRUS Primtel-CYPPT,15-05-2018,83,76,24
28310-Orange-ARMOR,15-05-2018,5,1,6
28401-MobiTel AD Bulgaria-BGR01,15-05-2018,1123,171,291
28403-Bulgarian Telecom -  Bulgaria-BGRVA,15-05-2018,38708,4692,4200
28405-Globul - Cosmo Bulgaria -BGRCM,15-05-2018,292779,39291,19924
28601-Turkcell-TURTC,15-05-2018,166321,40307,11236
28603-IS TIM-TURIS,15-05-2018,11773,2972,1180
28604-Aycell - Turkey-TURAC,15-05-2018,0,0,1
29001-Tele Greenland -GRLTG,15-05-2018,120,58,18
29340-SI-Mobil-SVNSM,15-05-2018,1655,110,212
29341-Mobitel Slovenia-SVNMT,15-05-2018,8384,1670,622
29364-T-2 d.o.o. Slovenia-SVNFT,15-05-2018,436,62,133
29401-Makedonski Telekomunikacii-MKDMM,15-05-2018,16,8,23
29502-VIAG Europlatform-LIEK9,15-05-2018,2,0,2
29502-VIAG Europlatform-LIEVE,15-05-2018,2,0,2
29505-Mobilkom-LIEMK,15-05-2018,1240,1299,2715
29702-T-Mobile Montenegro-MNETM,15-05-2018,14,3,41
30222-Telus Canada-CANTS,15-05-2018,51062,14804,9654
30237-Microcell (Fido)-CANMC,15-05-2018,2301,705,1526
30261-Bell Mobility-CANBM,15-05-2018,51184,12790,9013
30272-Rogers Wireless -CANRW,15-05-2018,23907,4769,7694
31017-Cingular (Pacific Bell Services)-USAPB,15-05-2018,2662,5320,19530
31026-T-Mobile- USAW6-USAW6,15-05-2018,689762,284755,181067
31038-AT&T Mobility P.Rico Puerto Rico-PRIAT,15-05-2018,0,0,1
31038-AT&T Wireless-USAAT,15-05-2018,0,0,1
31041-Cingular (Genesis)-USACG,15-05-2018,1320387,333801,174832
31148-Verizon-USAVZ,15-05-2018,0,0,3
33402-Radiomovil-MEXTL,15-05-2018,1594,702,2501
33403-Mexico - Telefonica-MEXMS,15-05-2018,36,8,5
33405-Iusacell Mexico-MEXIU,15-05-2018,85,18,94
33805-Digicel Barbados Barbados-BRBDC,15-05-2018,57,17,290
33805-Digicel Mossel-JAMDC,15-05-2018,57,17,290
33818-C&W/Jamaica-JAMCW,15-05-2018,0,1,36
34001-Orange Caraïbe (FWI)-GLP01,15-05-2018,1546,217,136
34020-FWI Bouygues Telecom-FRAF4,15-05-2018,110,12,20
34260-C&W/Barbados-BRBCW,15-05-2018,15,1,1
34492-Antigua C&W-ATGCW,15-05-2018,0,0,4
34614-C&W/Cayman-CYMCW,15-05-2018,9,3,35
34817-Cable Wireless-VGBCW,15-05-2018,12,11,12
35000-Bermuda Digital-BMUBD,15-05-2018,5,1,11
35211-Grenada-GRDCW,15-05-2018,0,0,10
35486-Montserrat C & W-MSRCW,15-05-2018,0,0,1
35611-St Kitts - C & W-KNACW,15-05-2018,0,0,1
36439-BTC-BHSBH,15-05-2018,0,0,1
36611-Dominica - C & W-DMACW,15-05-2018,0,0,5
37413-Digicel Trinidad-TTODL,15-05-2018,0,0,10
37635-Turks & Calcos - C & W-TCACW,15-05-2018,2,1,13
40001-Azercell Telecom-AZEAC,15-05-2018,9,4,15
40101-Kar-tel -KAZKT,15-05-2018,39,9,17
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,15-05-2018,1274,494,970
40403-Airtel Bharti [Himachal Pradesh]-INDBL,15-05-2018,78,56,17
40404-Idea Cellular Delhi-INDID,15-05-2018,1,0,5
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,15-05-2018,705,214,93
40407-Idea Cellular [Andhra Pradesh] I-IND07,15-05-2018,73,10,17
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,15-05-2018,19257,5304,3357
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,15-05-2018,992,464,280
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,15-05-2018,0,0,23
40419-Escotel [Kerala] INDEK - 40419-INDEK,15-05-2018,35,76,23
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,15-05-2018,10797,3799,1224
40422-Idea Cellular [Maharashtra] INDB-INDBO,15-05-2018,177,48,47
40424-Idea Cellular [Gujarat] INDBI - -INDBI,15-05-2018,1,0,17
40427-BPL Cellular [Maharashtra]-INDBM,15-05-2018,2196,191,93
40430-Hutchison [Calcutta] INDCC - 404-INDCC,15-05-2018,618,352,167
40431-Airtel Bharti [Calcutta] INDMT --INDMT,15-05-2018,2232,603,953
40440-Airtel Bharti [Chennai] INDSC - -INDSC,15-05-2018,11348,3928,1576
40443-BPL Cellular [Tamil Nadu] INDBT--INDBT,15-05-2018,193,40,31
40444-Spice Telekom [Karnataka] INDSK -INDSK,15-05-2018,10,3,5
40445-Airtel Bharti [Karnataka] INDJB -INDJB,15-05-2018,16691,4371,2906
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,15-05-2018,79,9,14
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,15-05-2018,8873,2519,2021
40470-Airtel India [Rajasthan] INDH1-INDH1,15-05-2018,869,191,135
40490-Airtel Bharti [Maharashtra]-INDA2,15-05-2018,1898,744,2277
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,15-05-2018,9145,12430,10172
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,15-05-2018,811,127,146
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,15-05-2018,1584,159,449
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,15-05-2018,1399,327,183
40496-Airtel Bharti [Haryana]-INDA5,15-05-2018,200,19,63
40497-Airtel Bharti [UP West] INDA6 - -INDA6,15-05-2018,560,124,127
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,15-05-2018,338,90,243
40556-Bharti Airtel Assam India-IND15,15-05-2018,3,1,2
40579-Idea Cellular Mumbai -INDIM,15-05-2018,45,38,20
41001-Mobilink-PAKMK,15-05-2018,6,1,7
41301-Mobitel - Sri Lanka-LKA71,15-05-2018,352,90,28
41302-MTN Sri Lanka-LKADG,15-05-2018,4497,788,2422
41305-Bharti Airtel Lanka-LKAAT,15-05-2018,0,0,7
41501-FTML Lebanon-LBNFL,15-05-2018,203,18,48
41503-Libancell -LBNLC,15-05-2018,30,6,9
41601-MTS Fastlink-JORFL,15-05-2018,0,0,4
41677-Mobilecom -JORMC,15-05-2018,30,2,5
41805-Asiacell - Iraq-IRQAC,15-05-2018,0,0,6
41820-Atheer - Iraq-IRQAT,15-05-2018,4,0,2
41903-Wataniya Telecom-KWTNM,15-05-2018,3849,880,246
42001-Saudi Telephone Company-SAUAJ,15-05-2018,14435,4887,1689
42003-Etihad Etisalat - Saudi Arabia-SAUET,15-05-2018,48308,12168,1941
42202-GTO Oman-OMNGT,15-05-2018,468,46,56
42203-Oman Mobile - Oman-OMNNT,15-05-2018,87,17,8
42402-Etisalat-ARETC,15-05-2018,16398,4541,3276
42403-United Arab Emirates-AREDU,15-05-2018,2783,926,1055
42501-Partner Communication-ISR01,15-05-2018,44384,18082,67968
42502-Cellcom-ISRCL,15-05-2018,11115,2630,1489
42503-Pelephone, Israel-ISRPL,15-05-2018,277,52,162
42601-Bahrain Telecommunications-BHRBT,15-05-2018,177,335,26
42701-Qatar Telekom -QATQT,15-05-2018,54615,12277,4533
43211-Iran TeleCom Co-IRN11,15-05-2018,136,29,79
44010-NTT DoCoMo-JPNDO,15-05-2018,12726,1879,3585
44020-J-Phone-JPNJP,15-05-2018,2354,305,243
44050-KDDI-JPNKD,15-05-2018,5066,806,532
44051-KDDI Japan-JPNKI,15-05-2018,2506,1593,432
45005-SK Korea-KORSK,15-05-2018,8764,1952,4604
45006-LG U+ South Korea-KORLU,15-05-2018,8747,2216,1082
45008-KT Freetel 3G-KORKF,15-05-2018,3464,910,745
45202-GPC Vietnam-VNMVI,15-05-2018,0,0,2
45400-Hong Kong CSL -HKGTC,15-05-2018,7325,1092,785
45403-Hutchison 3G (Hong Kong)-HKGH3,15-05-2018,476,95,175
45406-SmarTone Mobile Hong Kong-HKGSM,15-05-2018,27302,6294,2430
45412-Peoples Telephone Company -HKGPP,15-05-2018,2612,580,256
45419-Sunday 3G - Hong Kong-HKGM3,15-05-2018,2966,530,132
45601-CamGSM-KHMGM,15-05-2018,41,1,4
46000-China Telecom-CHNCT,15-05-2018,89146,37285,8943
46001-China Unicom-CHNCU,15-05-2018,19103,8939,7159
46002-China Mobile - China-CHNCM,15-05-2018,16088,5955,1767
46007-China Mobile 3rd-CHNTD,15-05-2018,1587,523,294
46601-Far EasTone Telecommunications-TWNFE,15-05-2018,101,20,5
46692-Chungwa Telecom LDM-TWNLD,15-05-2018,6995,945,195
46697-Taiwan Cellular Corp-TWNPC,15-05-2018,3377,278,112
47001-GrameenPhone-BGDGP,15-05-2018,128,11,7
50216-DiGi Telecommunications -MYSMT,15-05-2018,12659,1719,4430
50219-Celcom-MYSCC,15-05-2018,68,101,74
50501-Telstra -AUSTA,15-05-2018,112297,31069,33068
50502-Optus Communications-AUSOP,15-05-2018,23936,7914,25748
51001-PT Satelindo Palapa-IDNSL,15-05-2018,359,264,50
51010-PT Telkomsel-IDNTS,15-05-2018,2806,1533,405
51502-Globe Telecom -PHLGT,15-05-2018,206,78,26
52000-Thailand, True Move-THACT,15-05-2018,633,87,160
52003-AIS-THAWN,15-05-2018,170781,37138,9143
52004-Real Future Thailand-THACA,15-05-2018,398,40,15
52005-Thailand DTAC-THADT,15-05-2018,3082,1090,225
52018-Total Access Communications-THAWP,15-05-2018,0,0,2
52501-Singtel GSM 900-SGPST,15-05-2018,29274,9342,3438
52505-StarHub-SGPSH,15-05-2018,3689,1110,415
53001-Vodafone New Zealand-NZLBS,15-05-2018,1352,301,473
53005-Telecom-NZLTM,15-05-2018,13702,4202,4341
53024-NZ Communications-NZLNH,15-05-2018,1093,370,363
60201-Mobilnil-EGYAR,15-05-2018,4159,2527,1006
60203-Etisalat - Egypt-EGYEM,15-05-2018,91,29,40
60303-Wataniya-DZAWT,15-05-2018,2,0,2
60400-Medi Telecom-MARMT,15-05-2018,217,40,1664
60401-IAM-MARM1,15-05-2018,11,2,3
60402-Wana Morocco-MARM3,15-05-2018,3,0,6
60501-Orange Tunisia-TUNOR,15-05-2018,4,0,5
61203-Orange Cote d'Ivoire-CIV03,15-05-2018,0,0,1
61701-Cellplus Mobile Communications-MUSCP,15-05-2018,3,0,15
61807-Celcom Telecom - Liberia-LBR07,15-05-2018,0,0,1
61901-Celtel (SL) Limited-SLECT,15-05-2018,0,0,1
62001-Scancom -GHASC,15-05-2018,563,147,926
62006-Airtel Ghana-GHAZN,15-05-2018,0,3,93
62130-MTN-NGAMN,15-05-2018,809,797,3108
62150-Globacom - Nigeria-NGAGM,15-05-2018,114,29,114
62160-Etisalat Nigeria-NGAEM,15-05-2018,323,112,5317
62402-Orange Cameroon-CMR02,15-05-2018,7,1,9
63102-Unitel-AGOUT,15-05-2018,8,3,62
63510-Rwandacell - Rwanda-RWAMN,15-05-2018,0,2,27
63902-Safaricom -KENSA,15-05-2018,159,48,260
63903-KenCell -KENKC,15-05-2018,0,8,1
63907-Orange Kenya (Telkom)-KENFT,15-05-2018,3,1,2
63907-Telekom Kenya-KENK9,15-05-2018,3,1,2
63907-Telkom Kenya Kenya-KENTK,15-05-2018,3,1,2
64005-Celtel Tanzania-TZACT,15-05-2018,1,5,136
64101-Celtel Uganda-UGACE,15-05-2018,0,14,601
64110-MTN-UGAMN,15-05-2018,17,5,16
64304-Vodacom-MOZVC,15-05-2018,41,9,3
64804-Econet-ZWEET,15-05-2018,3,6,77
65202-Orange Botswana-BWAVC,15-05-2018,0,0,2
65501-Vodacom South Africa-ZAFVC,15-05-2018,33,1,5
65507-Cell C-ZAFCC,15-05-2018,21,41,3
65510-MTN South Africa-ZAFMN,15-05-2018,837,314,3984
71401-Cable & Wireless-PANCW,15-05-2018,135,14,22
71402-Telefonica Moviles-PANMS,15-05-2018,3,0,2
72207-Argentina Telefonica-ARGTM,15-05-2018,407,164,66
72234-Personal Telecom-ARGTP,15-05-2018,881,555,532
72402-TIM Region 2 Rio Norte-BRARN,15-05-2018,1395,521,830
72403-TIM Region 3 Sau Paulo-BRASP,15-05-2018,639,197,460
72404-TIM Region 1 Cellular Centro-BRACS,15-05-2018,437,283,557
72406-Vivo 2-BRAV2,15-05-2018,44,6,54
72410-Vivo 1-BRAV1,15-05-2018,476,143,171
