imsi,date,recordcount
64114-Orange-UGAOR,27-05-2018,7
64301-TDM -MOZ01,27-05-2018,1
64304-Vodacom-MOZVC,27-05-2018,1
64502-Telecel Zambia-ZMB02,27-05-2018,3
64602-SMM - Madagascar-MDGAN,27-05-2018,1
64700-Orange Reunion - Reunion-REU02,27-05-2018,260
64801-Net One-ZWEN1,27-05-2018,6
64804-Econet-ZWEET,27-05-2018,25
64901-MTC Namibia -NAM01,27-05-2018,1
65201-Mascom Wireless -BWAGA,27-05-2018,12
65202-Orange Botswana-BWAVC,27-05-2018,49
65507-Cell C-ZAFCC,27-05-2018,23
65510-MTN South Africa-ZAFMN,27-05-2018,760
71606-Telefonica Moviles-PERMO,27-05-2018,1
72207-Argentina Telefonica-ARGTM,27-05-2018,21
72234-Personal Telecom-ARGTP,27-05-2018,104
72402-TIM Region 2 Rio Norte-BRARN,27-05-2018,26
72403-TIM Region 3 Sau Paulo-BRASP,27-05-2018,42
72404-TIM Region 1 Cellular Centro-BRACS,27-05-2018,48
72406-Vivo 2-BRAV2,27-05-2018,12
72410-Vivo 1-BRAV1,27-05-2018,1
72411-Vivo 3-BRAV3,27-05-2018,3
72423-Telemig - Brazil-BRATC,27-05-2018,4
73001-Entel Telefonia Movil -CHLMV,27-05-2018,11
73210-Occidente Y Caribe Celular Sa Oc-COLCM,27-05-2018,6
73212-Telefonica Moviles-COLTM,27-05-2018,3
73800-Guyana Telephone - Guyana-GUYGT,27-05-2018,3
73801-Digicel Guyana-GUYUM,27-05-2018,1
74801-Antel-URYAN,27-05-2018,23
90131-Orange France-AAZOR,27-05-2018,8
20201-Cosmote Mobile Telecom-GRCCO,28-05-2018,13587
20205-Vodafone Greece-GRCPF,28-05-2018,106
20209-Wind Greece (Q-Telecom)-GRCQT,28-05-2018,172
20210-Stet Hellas Telecommunications-GRCSH,28-05-2018,4035
20404-Vodafone Netherlands-NLDLT,28-05-2018,8725
20408-KPN Tel Netherlands -NLDPT,28-05-2018,4281
20412-Telfort-NLDTM,28-05-2018,552
20416-T-Mobile Netherlands-NLDPN,28-05-2018,41822
20420-Orange Netherlands-NLDDT,28-05-2018,19
20601-Belgacom Mobile -BELTB,28-05-2018,3721
20610-Mobistar-BELMO,28-05-2018,10244
20620-Base-BELKO,28-05-2018,488
20801-Orange France-FRAF1,28-05-2018,144648
20810-SFR France-FRAF2,28-05-2018,1
20815-Free Mobile -FRAF5,28-05-2018,59961
20815-France Free Mobile-FRAFM,28-05-2018,59961
20820-Bouygues Telecom-FRAF3,28-05-2018,42986
21201-Vala 900 (Monaco Telecom) -MCOM1,28-05-2018,2
21401-Vodafone Espaqa-ESPAT,28-05-2018,688
21403-Amena-ESPRT,28-05-2018,36402
21404-Xfera Moviles-ESPXF,28-05-2018,5077
21407-Telefonica Moviles-ESPTE,28-05-2018,6239
21421-Jazztel Spain -ESPJZ,28-05-2018,485
21601-Pannon GSM-HUNH1,28-05-2018,5028
21630-Westel 900 GSM-HUNH2,28-05-2018,11965
21670-Vodafone Hungary-HUNVR,28-05-2018,70
21803-Eronet-BIHER,28-05-2018,2
21805-MOBIS-BIHMS,28-05-2018,10
21901-HT Mobile-HRVCN,28-05-2018,3071
21902-Tele2  (Croatia)-HRVT2,28-05-2018,177
21910-VIP Net GSM -HRVVI,28-05-2018,44
22001-Mobtel-YUGMT,28-05-2018,21
22003-Telekom Srbija-YUGTS,28-05-2018,235
22201-TIM Italy -ITASI,28-05-2018,18086
22210-Vodafone Omnitel-ITAOM,28-05-2018,1300
22288-Wind Italy-ITAWI,28-05-2018,19459
22299-Hutchinson 3G - Italy-ITAH3,28-05-2018,972
22601-Mobifon -ROMMF,28-05-2018,1296
22603-Cosmorom-ROMCS,28-05-2018,18854
22610-Orange Romania-ROMMR,28-05-2018,76161
22801-Swisscom-CHEC1,28-05-2018,7594
22802-sunrise-CHEDX,28-05-2018,5075
22803-Orange Switzerland-CHEOR,28-05-2018,3697
23001-T-Mobile Czech-CZERM,28-05-2018,15727
23002-Eurotel Praha -CZEET,28-05-2018,265
23003-Cesky Mobil -CZECM,28-05-2018,1022
23101-Orange Slovakia-SVKGT,28-05-2018,8646
23102-Eurotel Bratislava-SVKET,28-05-2018,5181
23106-Telefonica o2-SVKO2,28-05-2018,105
23201-Mobilkom Austria-AUTPT,28-05-2018,2229
23203-T-Mobile Austria-AUTMM,28-05-2018,5109
23205-Connect -AUTCA,28-05-2018,39
23207-Tele Ring Telekom -AUTTR,28-05-2018,1845
23403-Airtel-GBRAJ,28-05-2018,649
23410-02 UK-GBRCN,28-05-2018,119
23415-Vodafone UK-GBRVF,28-05-2018,53
23418-Cloud 9-GBRC9,28-05-2018,69
23420-3 UK-GBRHU,28-05-2018,47
23450-Jersey Telecoms -GBRJT,28-05-2018,2551
23455-Guernsey Telecom-GBRGT,28-05-2018,2986
23458-Manx Telecom-GBRMT,28-05-2018,8921
23801-Tele Danmark Mobil-DNKTD,28-05-2018,1470
23802-Sonofon -DNKDM,28-05-2018,5244
23806-Hi3G - Denmark-DNKHU,28-05-2018,42
23820-Telia Mobile (Denmark)-DNKIA,28-05-2018,5061
24001-Telia Mobitel (Sweden)-SWETR,28-05-2018,14358
24002-HI 3G-SWEHU,28-05-2018,16
24007-Tele2 AB-SWEIQ,28-05-2018,10136
24008-Vodafone Sweden-SWEEP,28-05-2018,5730
24201-Telenor Mobil -NORTM,28-05-2018,20887
24202-NetCom-NORNC,28-05-2018,10103
24205-Telia Norge Norway-NORNN,28-05-2018,3065
24405-Radiolinja Finland-FINRL,28-05-2018,112
24412-Finnish 2G-FIN2G,28-05-2018,363
24421-Elisa (2nd code)-FINES,28-05-2018,16
24491-Sonera Corporation-FINTF,28-05-2018,3404
24601-Omnitel Lithuania-LTUOM,28-05-2018,7295
24603-Tele2-LTU03,28-05-2018,11291
24701-Latvian Mobile Telephone-LVALM,28-05-2018,8656
24702-Baltcom GSM -LVABC,28-05-2018,6279
24801-Estonian Mob Tel-ESTEM,28-05-2018,1886
24802-Radiolinja Estonia-ESTRE,28-05-2018,195
24803-Estonia Ritabell (Tele2)-ESTRB,28-05-2018,964
25001-MTS-RUS01,28-05-2018,1186
25002-MegaFon -RUSNW,28-05-2018,1083
25099-VimpelCom-RUSBD,28-05-2018,2055
25501-Ukraine Mobile Communications-UKRUM,28-05-2018,13
25503-Kyvistar GSM-UKRKS,28-05-2018,651
25506-Astelit LLC-UKRAS,28-05-2018,12
25701-Mobile Digital Communications -BLRMD,28-05-2018,2
25901-Voxtel-MDAVX,28-05-2018,79
25902-Moldcell-MDAMC,28-05-2018,10
26001-Polkomtel -POLKM,28-05-2018,55071
26002-Era -POL02,28-05-2018,90277
26003-PTK Centeltel -POL03,28-05-2018,145858
26006-P4 - 3G Poland-POLP4,28-05-2018,238
26201-T-Mobile Germany-DEUD1,28-05-2018,42177
26202-Vodafone Germany-DEUD2,28-05-2018,704
26203-Eplus -DEUE1,28-05-2018,1322
26207-O2 Germany-DEUE2,28-05-2018,2446
26601-Gibtel Telecommunications -GIBGT,28-05-2018,224
26801-Vodafone Portugal-PRTTL,28-05-2018,744
26803-Optimus -PRTOP,28-05-2018,16042
26806-TMN-PRTTM,28-05-2018,13606
27001-Luxembourg P&T-LUXPT,28-05-2018,1374
27077-Tango -LUXTG,28-05-2018,55
27099-VOX Mobile - Luxembourg-LUXVM,28-05-2018,594
27201-Vodafone Ireland-IRLEC,28-05-2018,3633
27202-O2 Ireland-IRLDF,28-05-2018,3162
27203-Meteor-IRLME,28-05-2018,43626
27401-Landssimi Islands -ISLPS,28-05-2018,188
27402-TAL -ISLTL,28-05-2018,93
27404-IMC - Iceland-ISLVW,28-05-2018,2
27411-Nova Iceland-ISLK9,28-05-2018,385
27411-Nova Efh-ISLNO,28-05-2018,385
27601-AMC (Albanian Mobile) -ALBAM,28-05-2018,172
27801-Vodafone Malta-MLTTL,28-05-2018,105
27821-Go Mobile -MLTGO,28-05-2018,980
28001-Cyprus Telecommunications Author-CYPCT,28-05-2018,184
28010-Scancom (Cyprus)-CYPSC,28-05-2018,8234
28020-CYPRUS Primtel-CYPPT,28-05-2018,107
28202-Magticom-GEOMA,28-05-2018,18
28310-Orange-ARMOR,28-05-2018,22
28401-MobiTel AD Bulgaria-BGR01,28-05-2018,359
28403-Bulgarian Telecom -  Bulgaria-BGRVA,28-05-2018,6270
28405-Globul - Cosmo Bulgaria -BGRCM,28-05-2018,23501
28601-Turkcell-TURTC,28-05-2018,3071
28603-IS TIM-TURIS,28-05-2018,325
28604-Aycell - Turkey-TURAC,28-05-2018,2
29001-Tele Greenland -GRLTG,28-05-2018,5
29340-SI-Mobil-SVNSM,28-05-2018,102
29341-Mobitel Slovenia-SVNMT,28-05-2018,1483
29364-T-2 d.o.o. Slovenia-SVNFT,28-05-2018,81
29401-Makedonski Telekomunikacii-MKDMM,28-05-2018,54
29505-Mobilkom-LIEMK,28-05-2018,28
29701-Telenor Montenegro-MNEPM,28-05-2018,2
29702-T-Mobile Montenegro-MNETM,28-05-2018,8
30222-Telus Canada-CANTS,28-05-2018,6250
30237-Microcell (Fido)-CANMC,28-05-2018,183
30261-Bell Mobility-CANBM,28-05-2018,5110
30272-Rogers Wireless -CANRW,28-05-2018,1185
31017-Cingular (Pacific Bell Services)-USAPB,28-05-2018,22
31026-T-Mobile- USAW6-USAW6,28-05-2018,57596
31038-AT&T Mobility P.Rico Puerto Rico-PRIAT,28-05-2018,2
31038-AT&T Wireless-USAAT,28-05-2018,2
31041-Cingular (Genesis)-USACG,28-05-2018,53330
31148-Verizon-USAVZ,28-05-2018,3
33402-Radiomovil-MEXTL,28-05-2018,12
33405-Iusacell Mexico-MEXIU,28-05-2018,10
33805-Digicel Barbados Barbados-BRBDC,28-05-2018,159
33805-Digicel Mossel-JAMDC,28-05-2018,159
33818-C&W/Jamaica-JAMCW,28-05-2018,9
34001-Orange Caraïbe (FWI)-GLP01,28-05-2018,300
34020-FWI Bouygues Telecom-FRAF4,28-05-2018,4
34260-C&W/Barbados-BRBCW,28-05-2018,10
34403-APUA-ATG03,28-05-2018,1
34614-C&W/Cayman-CYMCW,28-05-2018,29
34857-CCT Boatphone - Virgin Islands-VGBCC,28-05-2018,7
35000-Bermuda Digital-BMUBD,28-05-2018,24
35211-Grenada-GRDCW,28-05-2018,1
35611-St Kitts - C & W-KNACW,28-05-2018,2
35811-ST Lucia-LCACW,28-05-2018,7
36011-St Vincent - C & W-VCTCW,28-05-2018,2
36251-Telcell-ANTTC,28-05-2018,2
36584-Anguillia C&W-AIACW,28-05-2018,4
37413-Digicel Trinidad-TTODL,28-05-2018,7
40001-Azercell Telecom-AZEAC,28-05-2018,23
40101-Kar-tel -KAZKT,28-05-2018,63
40102-K'Cell-KAZKZ,28-05-2018,1
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,28-05-2018,453
40403-Airtel Bharti [Himachal Pradesh]-INDBL,28-05-2018,21
40404-Idea Cellular Delhi-INDID,28-05-2018,16
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,28-05-2018,271
40407-Idea Cellular [Andhra Pradesh] I-IND07,28-05-2018,43
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,28-05-2018,5234
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,28-05-2018,674
40412-Escotel [Haryana] INDEH - 40412-INDEH,28-05-2018,3
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,28-05-2018,10
40416-Bharti Hexacom North East  India-IND16,28-05-2018,8
40419-Escotel [Kerala] INDEK - 40419-INDEK,28-05-2018,18
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,28-05-2018,1778
40422-Idea Cellular [Maharashtra] INDB-INDBO,28-05-2018,206
40424-Idea Cellular [Gujarat] INDBI - -INDBI,28-05-2018,39
40427-BPL Cellular [Maharashtra]-INDBM,28-05-2018,156
40430-Hutchison [Calcutta] INDCC - 404-INDCC,28-05-2018,308
40431-Airtel Bharti [Calcutta] INDMT --INDMT,28-05-2018,1200
40440-Airtel Bharti [Chennai] INDSC - -INDSC,28-05-2018,1443
40443-BPL Cellular [Tamil Nadu] INDBT--INDBT,28-05-2018,21
40444-Spice Telekom [Karnataka] INDSK -INDSK,28-05-2018,3
40445-Airtel Bharti [Karnataka] INDJB -INDJB,28-05-2018,2016
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,28-05-2018,40
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,28-05-2018,1673
40470-Airtel India [Rajasthan] INDH1-INDH1,28-05-2018,440
40490-Airtel Bharti [Maharashtra]-INDA2,28-05-2018,295
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,28-05-2018,1640
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,28-05-2018,193
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,28-05-2018,250
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,28-05-2018,137
40496-Airtel Bharti [Haryana]-INDA5,28-05-2018,33
40497-Airtel Bharti [UP West] INDA6 - -INDA6,28-05-2018,71
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,28-05-2018,152
40503-Tata Docomo Mumbai-INDTG,28-05-2018,14
40504-Tata Docomo Tamil Nadu-INDT2,28-05-2018,1
40504-TATA Docomo India-INDTO,28-05-2018,1
40555-Bharti Airtel Jammu & Kashmir-IND13,28-05-2018,1
40579-Idea Cellular Mumbai -INDIM,28-05-2018,26
41001-Mobilink-PAKMK,28-05-2018,172
41003-Ufone Pakistan-PAKUF,28-05-2018,41
41004-CMPak Limited-PAKPL,28-05-2018,6
41006-Telenor-PAKTP,28-05-2018,1
41220-TDCA-AFGTD,28-05-2018,1
41301-Mobitel - Sri Lanka-LKA71,28-05-2018,77
41302-MTN Sri Lanka-LKADG,28-05-2018,131
41305-Bharti Airtel Lanka-LKAAT,28-05-2018,7
41401-MPT-MMRFT,28-05-2018,2
41501-FTML Lebanon-LBNFL,28-05-2018,191
41503-Libancell -LBNLC,28-05-2018,67
41677-Mobilecom -JORMC,28-05-2018,24
41702-Spacetel - Syria-SYRSP,28-05-2018,3
41805-Asiacell - Iraq-IRQAC,28-05-2018,5
41820-Atheer - Iraq-IRQAT,28-05-2018,2
41840-Korek Telecom LTD - Iraq-IRQKK,28-05-2018,2
41903-Wataniya Telecom-KWTNM,28-05-2018,139
42001-Saudi Telephone Company-SAUAJ,28-05-2018,1320
42003-Etihad Etisalat - Saudi Arabia-SAUET,28-05-2018,998
42101-Sabafon-YEMSA,28-05-2018,3
42202-GTO Oman-OMNGT,28-05-2018,28
42203-Oman Mobile - Oman-OMNNT,28-05-2018,15
42402-Etisalat-ARETC,28-05-2018,1527
42403-United Arab Emirates-AREDU,28-05-2018,311
42501-Partner Communication-ISR01,28-05-2018,2168
42502-Cellcom-ISRCL,28-05-2018,650
42503-Pelephone, Israel-ISRPL,28-05-2018,21
42601-Bahrain Telecommunications-BHRBT,28-05-2018,16
42701-Qatar Telekom -QATQT,28-05-2018,1517
43211-Iran TeleCom Co-IRN11,28-05-2018,93
44010-NTT DoCoMo-JPNDO,28-05-2018,325
44020-J-Phone-JPNJP,28-05-2018,32
44050-KDDI-JPNKD,28-05-2018,63
44051-KDDI Japan-JPNKI,28-05-2018,95
45005-SK Korea-KORSK,28-05-2018,463
45006-LG U+ South Korea-KORLU,28-05-2018,174
45008-KT Freetel 3G-KORKF,28-05-2018,101
45201-VMS Mobifone-VNMMO,28-05-2018,128
45202-GPC Vietnam-VNMVI,28-05-2018,42
45400-Hong Kong CSL -HKGTC,28-05-2018,106
45403-Hutchison 3G (Hong Kong)-HKGH3,28-05-2018,98
45406-SmarTone Mobile Hong Kong-HKGSM,28-05-2018,407
45412-Peoples Telephone Company -HKGPP,28-05-2018,105
45419-Sunday 3G - Hong Kong-HKGM3,28-05-2018,50
45501-Companhia Telecomunicoes-MACCT,28-05-2018,5
45503-Hutchison Telephone Macau -MACHT,28-05-2018,2
46000-China Telecom-CHNCT,28-05-2018,2675
46001-China Unicom-CHNCU,28-05-2018,756
46002-China Mobile - China-CHNCM,28-05-2018,647
46007-China Mobile 3rd-CHNTD,28-05-2018,139
46601-Far EasTone Telecommunications-TWNFE,28-05-2018,3
46692-Chungwa Telecom LDM-TWNLD,28-05-2018,78
46697-Taiwan Cellular Corp-TWNPC,28-05-2018,27
47001-GrameenPhone-BGDGP,28-05-2018,14
47003-Banglalink - Bangladesh-BGDBL,28-05-2018,9
50212-Maxis-MYSBC,28-05-2018,47
50216-DiGi Telecommunications -MYSMT,28-05-2018,157
50218-France Telecom Roaming Global Ex-MYSFT,28-05-2018,4
50219-Celcom-MYSCC,28-05-2018,33
50501-Telstra -AUSTA,28-05-2018,12695
50502-Optus Communications-AUSOP,28-05-2018,5325
51001-PT Satelindo Palapa-IDNSL,28-05-2018,4
51010-PT Telkomsel-IDNTS,28-05-2018,74
51502-Globe Telecom -PHLGT,28-05-2018,31
52000-Thailand, True Move-THACT,28-05-2018,3
52003-AIS-THAWN,28-05-2018,661
52005-Thailand DTAC-THADT,28-05-2018,70
52501-Singtel GSM 900-SGPST,28-05-2018,1101
52503-MobileOne-SGPM1,28-05-2018,10
52505-StarHub-SGPSH,28-05-2018,157
52811-DST Communications-BRNDS,28-05-2018,5
53001-Vodafone New Zealand-NZLBS,28-05-2018,108
53005-Telecom-NZLTM,28-05-2018,2111
53024-NZ Communications-NZLNH,28-05-2018,322
60201-Mobilnil-EGYAR,28-05-2018,735
60203-Etisalat - Egypt-EGYEM,28-05-2018,49
60301-PTT-AMN-DZAA1,28-05-2018,5
60303-Wataniya-DZAWT,28-05-2018,4
60400-Medi Telecom-MARMT,28-05-2018,65
60401-IAM-MARM1,28-05-2018,87
60501-Orange Tunisia-TUNOR,28-05-2018,7
60502-Tunisie Telecom-TUNTT,28-05-2018,10
60601-El Madar Tel Co-LBY01,28-05-2018,68
60702-Africell-GMBAC,28-05-2018,1
60801-Sonatel-SENAZ,28-05-2018,27
61002-Ikatel Sa-MLI02,28-05-2018,27
61101-Orange-GINGS,28-05-2018,22
61203-Orange Cote d'Ivoire-CIV03,28-05-2018,72
61603-Spacetel - BENIN-BENSP,28-05-2018,2
61701-Cellplus Mobile Communications-MUSCP,28-05-2018,70
61807-Celcom Telecom - Liberia-LBR07,28-05-2018,2
61901-Celtel (SL) Limited-SLECT,28-05-2018,77
61905-Africell -SLEAC,28-05-2018,2
62001-Scancom -GHASC,28-05-2018,415
62006-Airtel Ghana-GHAZN,28-05-2018,3
62130-MTN-NGAMN,28-05-2018,2855
62150-Globacom - Nigeria-NGAGM,28-05-2018,516
62160-Etisalat Nigeria-NGAEM,28-05-2018,808
62402-Orange Cameroon-CMR02,28-05-2018,1
62502-T plus Cape Verde-CPVTM,28-05-2018,1
62701-GETESA-GNQ01,28-05-2018,4
62803-Celtel Gabon-GABCT,28-05-2018,2
63086-Orange-CODFT,28-05-2018,2
63102-Unitel-AGOUT,28-05-2018,134
63203-Orange-GNB03,28-05-2018,1
63301-Cable & Wireless-SYCCW,28-05-2018,3
63401-MobiTel Sudan-SUDMO,28-05-2018,35
63402-Bashair Telecom - Sudan-SDNBT,28-05-2018,13
63402-MTN-SSDMN,28-05-2018,13
63510-Rwandacell - Rwanda-RWAMN,28-05-2018,32
63601-ETC-ETH01,28-05-2018,9
63902-Safaricom -KENSA,28-05-2018,291
63903-KenCell -KENKC,28-05-2018,37
64005-Celtel Tanzania-TZACT,28-05-2018,22
64101-Celtel Uganda-UGACE,28-05-2018,15
64110-MTN-UGAMN,28-05-2018,40
64111-Uganda Telecom-UGATL,28-05-2018,1
64114-Orange-UGAOR,28-05-2018,3
64301-TDM -MOZ01,28-05-2018,9
64502-Telecel Zambia-ZMB02,28-05-2018,7
64700-Orange Reunion - Reunion-REU02,28-05-2018,149
64801-Net One-ZWEN1,28-05-2018,8
64804-Econet-ZWEET,28-05-2018,82
64901-MTC Namibia -NAM01,28-05-2018,17
65201-Mascom Wireless -BWAGA,28-05-2018,6
65202-Orange Botswana-BWAVC,28-05-2018,29
65501-Vodacom South Africa-ZAFVC,28-05-2018,5
65507-Cell C-ZAFCC,28-05-2018,29
65510-MTN South Africa-ZAFMN,28-05-2018,1346
70601-CTE Telecom Personal-SLVTP,28-05-2018,4
71201-ICE-CRICR,28-05-2018,3
71606-Telefonica Moviles-PERMO,28-05-2018,1
72207-Argentina Telefonica-ARGTM,28-05-2018,34
72234-Personal Telecom-ARGTP,28-05-2018,79
72402-TIM Region 2 Rio Norte-BRARN,28-05-2018,56
72403-TIM Region 3 Sau Paulo-BRASP,28-05-2018,65
72404-TIM Region 1 Cellular Centro-BRACS,28-05-2018,67
72406-Vivo 2-BRAV2,28-05-2018,3
72410-Vivo 1-BRAV1,28-05-2018,11
72411-Vivo 3-BRAV3,28-05-2018,1
72423-Telemig - Brazil-BRATC,28-05-2018,6
72431-TNL (Oi)-BRATM,28-05-2018,1
73001-Entel Telefonia Movil -CHLMV,28-05-2018,27
73210-Occidente Y Caribe Celular Sa Oc-COLCM,28-05-2018,9
73212-Telefonica Moviles-COLTM,28-05-2018,9
73801-Digicel Guyana-GUYUM,28-05-2018,4
74801-Antel-URYAN,28-05-2018,12
90131-Orange France-AAZOR,28-05-2018,15
20201-Cosmote Mobile Telecom-GRCCO,29-05-2018,17132
20205-Vodafone Greece-GRCPF,29-05-2018,145
20209-Wind Greece (Q-Telecom)-GRCQT,29-05-2018,164
20210-Stet Hellas Telecommunications-GRCSH,29-05-2018,5118
20404-Vodafone Netherlands-NLDLT,29-05-2018,16073
20408-KPN Tel Netherlands -NLDPT,29-05-2018,8063
20412-Telfort-NLDTM,29-05-2018,528
20416-T-Mobile Netherlands-NLDPN,29-05-2018,58594
20420-Orange Netherlands-NLDDT,29-05-2018,48
20601-Belgacom Mobile -BELTB,29-05-2018,3536
20610-Mobistar-BELMO,29-05-2018,12603
20620-Base-BELKO,29-05-2018,540
20801-Orange France-FRAF1,29-05-2018,172565
20810-SFR France-FRAF2,29-05-2018,1
20815-Free Mobile -FRAF5,29-05-2018,70202
20815-France Free Mobile-FRAFM,29-05-2018,70202
20820-Bouygues Telecom-FRAF3,29-05-2018,49464
21201-Vala 900 (Monaco Telecom) -MCOM1,29-05-2018,1
21401-Vodafone Espaqa-ESPAT,29-05-2018,773
21403-Amena-ESPRT,29-05-2018,38382
21404-Xfera Moviles-ESPXF,29-05-2018,5442
21407-Telefonica Moviles-ESPTE,29-05-2018,7027
21421-Jazztel Spain -ESPJZ,29-05-2018,474
21601-Pannon GSM-HUNH1,29-05-2018,5974
21630-Westel 900 GSM-HUNH2,29-05-2018,13121
21670-Vodafone Hungary-HUNVR,29-05-2018,112
21805-MOBIS-BIHMS,29-05-2018,10
21901-HT Mobile-HRVCN,29-05-2018,3601
21902-Tele2  (Croatia)-HRVT2,29-05-2018,178
21910-VIP Net GSM -HRVVI,29-05-2018,37
22001-Mobtel-YUGMT,29-05-2018,41
22003-Telekom Srbija-YUGTS,29-05-2018,432
22201-TIM Italy -ITASI,29-05-2018,19344
22210-Vodafone Omnitel-ITAOM,29-05-2018,1332
22288-Wind Italy-ITAWI,29-05-2018,20521
22299-Hutchinson 3G - Italy-ITAH3,29-05-2018,941
22601-Mobifon -ROMMF,29-05-2018,1607
22603-Cosmorom-ROMCS,29-05-2018,23049
22610-Orange Romania-ROMMR,29-05-2018,91782
22801-Swisscom-CHEC1,29-05-2018,9350
22802-sunrise-CHEDX,29-05-2018,5187
22803-Orange Switzerland-CHEOR,29-05-2018,4227
23001-T-Mobile Czech-CZERM,29-05-2018,18325
23002-Eurotel Praha -CZEET,29-05-2018,582
23003-Cesky Mobil -CZECM,29-05-2018,1097
23101-Orange Slovakia-SVKGT,29-05-2018,9296
23102-Eurotel Bratislava-SVKET,29-05-2018,5491
23106-Telefonica o2-SVKO2,29-05-2018,123
23201-Mobilkom Austria-AUTPT,29-05-2018,2145
23203-T-Mobile Austria-AUTMM,29-05-2018,6183
23205-Connect -AUTCA,29-05-2018,68
23207-Tele Ring Telekom -AUTTR,29-05-2018,1652
23403-Airtel-GBRAJ,29-05-2018,777
23410-02 UK-GBRCN,29-05-2018,120
23415-Vodafone UK-GBRVF,29-05-2018,59
23418-Cloud 9-GBRC9,29-05-2018,50
23420-3 UK-GBRHU,29-05-2018,38
23450-Jersey Telecoms -GBRJT,29-05-2018,3142
23455-Guernsey Telecom-GBRGT,29-05-2018,3125
23458-Manx Telecom-GBRMT,29-05-2018,10353
23801-Tele Danmark Mobil-DNKTD,29-05-2018,1796
23802-Sonofon -DNKDM,29-05-2018,7050
23806-Hi3G - Denmark-DNKHU,29-05-2018,44
23820-Telia Mobile (Denmark)-DNKIA,29-05-2018,5600
24001-Telia Mobitel (Sweden)-SWETR,29-05-2018,13982
24002-HI 3G-SWEHU,29-05-2018,50
24007-Tele2 AB-SWEIQ,29-05-2018,11865
24008-Vodafone Sweden-SWEEP,29-05-2018,7509
24042-Sweden Telenor-SWECN,29-05-2018,2
24201-Telenor Mobil -NORTM,29-05-2018,19691
24202-NetCom-NORNC,29-05-2018,8395
24205-Telia Norge Norway-NORNN,29-05-2018,2760
24405-Radiolinja Finland-FINRL,29-05-2018,114
24412-Finnish 2G-FIN2G,29-05-2018,298
24421-Elisa (2nd code)-FINES,29-05-2018,11
24491-Sonera Corporation-FINTF,29-05-2018,3681
24601-Omnitel Lithuania-LTUOM,29-05-2018,9067
24602-Bite GSM-LTUMT,29-05-2018,2
24603-Tele2-LTU03,29-05-2018,12182
24701-Latvian Mobile Telephone-LVALM,29-05-2018,9239
24702-Baltcom GSM -LVABC,29-05-2018,6708
24801-Estonian Mob Tel-ESTEM,29-05-2018,2410
24802-Radiolinja Estonia-ESTRE,29-05-2018,227
24803-Estonia Ritabell (Tele2)-ESTRB,29-05-2018,1251
25001-MTS-RUS01,29-05-2018,1314
25002-MegaFon -RUSNW,29-05-2018,1176
25099-VimpelCom-RUSBD,29-05-2018,2486
25501-Ukraine Mobile Communications-UKRUM,29-05-2018,43
25503-Kyvistar GSM-UKRKS,29-05-2018,1252
25506-Astelit LLC-UKRAS,29-05-2018,9
25701-Mobile Digital Communications -BLRMD,29-05-2018,2
25702-MTS Belarus-BLR02,29-05-2018,1
25901-Voxtel-MDAVX,29-05-2018,80
25902-Moldcell-MDAMC,29-05-2018,17
26001-Polkomtel -POLKM,29-05-2018,59930
26002-Era -POL02,29-05-2018,91071
26003-PTK Centeltel -POL03,29-05-2018,138053
26006-P4 - 3G Poland-POLP4,29-05-2018,190
26201-T-Mobile Germany-DEUD1,29-05-2018,52724
26202-Vodafone Germany-DEUD2,29-05-2018,1112
26203-Eplus -DEUE1,29-05-2018,1200
26207-O2 Germany-DEUE2,29-05-2018,2111
26601-Gibtel Telecommunications -GIBGT,29-05-2018,224
26801-Vodafone Portugal-PRTTL,29-05-2018,441
26803-Optimus -PRTOP,29-05-2018,16151
26806-TMN-PRTTM,29-05-2018,13803
27001-Luxembourg P&T-LUXPT,29-05-2018,1709
27077-Tango -LUXTG,29-05-2018,92
27099-VOX Mobile - Luxembourg-LUXVM,29-05-2018,751
27201-Vodafone Ireland-IRLEC,29-05-2018,3707
27202-O2 Ireland-IRLDF,29-05-2018,4091
27203-Meteor-IRLME,29-05-2018,44245
27205-Hutchinson 3G - Ireland-IRLH3,29-05-2018,1119
27401-Landssimi Islands -ISLPS,29-05-2018,137
27402-TAL -ISLTL,29-05-2018,61
27411-Nova Iceland-ISLK9,29-05-2018,272
27411-Nova Efh-ISLNO,29-05-2018,272
27601-AMC (Albanian Mobile) -ALBAM,29-05-2018,75
27801-Vodafone Malta-MLTTL,29-05-2018,95
27821-Go Mobile -MLTGO,29-05-2018,931
28001-Cyprus Telecommunications Author-CYPCT,29-05-2018,296
