imsi,date,recordcount
27821-Go Mobile -MLTGO,22-05-2018,717
28001-Cyprus Telecommunications Author-CYPCT,22-05-2018,161
28010-Scancom (Cyprus)-CYPSC,22-05-2018,6079
28020-CYPRUS Primtel-CYPPT,22-05-2018,112
28201-Geocell -GEOGC,22-05-2018,1
28202-Magticom-GEOMA,22-05-2018,11
28310-Orange-ARMOR,22-05-2018,36
28401-MobiTel AD Bulgaria-BGR01,22-05-2018,321
28403-Bulgarian Telecom -  Bulgaria-BGRVA,22-05-2018,5280
28405-Globul - Cosmo Bulgaria -BGRCM,22-05-2018,19733
28601-Turkcell-TURTC,22-05-2018,3760
28603-IS TIM-TURIS,22-05-2018,329
28604-Aycell - Turkey-TURAC,22-05-2018,2
29001-Tele Greenland -GRLTG,22-05-2018,5
29340-SI-Mobil-SVNSM,22-05-2018,113
29341-Mobitel Slovenia-SVNMT,22-05-2018,945
29364-T-2 d.o.o. Slovenia-SVNFT,22-05-2018,47
29401-Makedonski Telekomunikacii-MKDMM,22-05-2018,50
29502-VIAG Europlatform-LIEK9,22-05-2018,6
29502-VIAG Europlatform-LIEVE,22-05-2018,6
29505-Mobilkom-LIEMK,22-05-2018,17
29701-Telenor Montenegro-MNEPM,22-05-2018,8
29702-T-Mobile Montenegro-MNETM,22-05-2018,62
30222-Telus Canada-CANTS,22-05-2018,6791
30237-Microcell (Fido)-CANMC,22-05-2018,197
30261-Bell Mobility-CANBM,22-05-2018,6407
30272-Rogers Wireless -CANRW,22-05-2018,1318
31017-Cingular (Pacific Bell Services)-USAPB,22-05-2018,688
31026-T-Mobile- USAW6-USAW6,22-05-2018,46075
31041-Cingular (Genesis)-USACG,22-05-2018,63549
33402-Radiomovil-MEXTL,22-05-2018,49
33403-Mexico - Telefonica-MEXMS,22-05-2018,9
33405-Iusacell Mexico-MEXIU,22-05-2018,11
33805-Digicel Barbados Barbados-BRBDC,22-05-2018,99
33805-Digicel Mossel-JAMDC,22-05-2018,99
33818-C&W/Jamaica-JAMCW,22-05-2018,2
34001-Orange Caraïbe (FWI)-GLP01,22-05-2018,230
34020-FWI Bouygues Telecom-FRAF4,22-05-2018,30
34614-C&W/Cayman-CYMCW,22-05-2018,6
34817-Cable Wireless-VGBCW,22-05-2018,13
35000-Bermuda Digital-BMUBD,22-05-2018,7
35211-Grenada-GRDCW,22-05-2018,49
35486-Montserrat C & W-MSRCW,22-05-2018,1
35611-St Kitts - C & W-KNACW,22-05-2018,4
36251-Telcell-ANTTC,22-05-2018,5
36291-Setel NV (UTS Wireless Curacao)-ANTUT,22-05-2018,12
36439-BTC-BHSBH,22-05-2018,2
36584-Anguillia C&W-AIACW,22-05-2018,3
37001-Orange Dominican Republic-DOM01,22-05-2018,4
37413-Digicel Trinidad-TTODL,22-05-2018,1
37635-Turks & Calcos - C & W-TCACW,22-05-2018,38
40001-Azercell Telecom-AZEAC,22-05-2018,68
40101-Kar-tel -KAZKT,22-05-2018,42
40102-K'Cell-KAZKZ,22-05-2018,1
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,22-05-2018,360
40403-Airtel Bharti [Himachal Pradesh]-INDBL,22-05-2018,7
40404-Idea Cellular Delhi-INDID,22-05-2018,4
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,22-05-2018,264
40407-Idea Cellular [Andhra Pradesh] I-IND07,22-05-2018,17
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,22-05-2018,2848
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,22-05-2018,199
40412-Escotel [Haryana] INDEH - 40412-INDEH,22-05-2018,26
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,22-05-2018,21
40419-Escotel [Kerala] INDEK - 40419-INDEK,22-05-2018,7
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,22-05-2018,1208
40422-Idea Cellular [Maharashtra] INDB-INDBO,22-05-2018,194
40424-Idea Cellular [Gujarat] INDBI - -INDBI,22-05-2018,16
40427-BPL Cellular [Maharashtra]-INDBM,22-05-2018,114
40430-Hutchison [Calcutta] INDCC - 404-INDCC,22-05-2018,167
40431-Airtel Bharti [Calcutta] INDMT --INDMT,22-05-2018,663
40440-Airtel Bharti [Chennai] INDSC - -INDSC,22-05-2018,1291
40443-BPL Cellular [Tamil Nadu] INDBT--INDBT,22-05-2018,11
40444-Spice Telekom [Karnataka] INDSK -INDSK,22-05-2018,10
40445-Airtel Bharti [Karnataka] INDJB -INDJB,22-05-2018,1832
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,22-05-2018,50
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,22-05-2018,814
40456-Escotel [UP West]-INDEU,22-05-2018,28
40470-Airtel India [Rajasthan] INDH1-INDH1,22-05-2018,250
40490-Airtel Bharti [Maharashtra]-INDA2,22-05-2018,237
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,22-05-2018,1137
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,22-05-2018,116
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,22-05-2018,180
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,22-05-2018,59
40496-Airtel Bharti [Haryana]-INDA5,22-05-2018,51
40497-Airtel Bharti [UP West] INDA6 - -INDA6,22-05-2018,94
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,22-05-2018,99
40503-Tata Docomo Mumbai-INDTG,22-05-2018,4
40555-Bharti Airtel Jammu & Kashmir-IND13,22-05-2018,1
40556-Bharti Airtel Assam India-IND15,22-05-2018,2
41001-Mobilink-PAKMK,22-05-2018,166
41003-Ufone Pakistan-PAKUF,22-05-2018,27
41004-CMPak Limited-PAKPL,22-05-2018,16
41220-TDCA-AFGTD,22-05-2018,1
41301-Mobitel - Sri Lanka-LKA71,22-05-2018,50
41302-MTN Sri Lanka-LKADG,22-05-2018,125
41305-Bharti Airtel Lanka-LKAAT,22-05-2018,3
41401-MPT-MMRFT,22-05-2018,1
41501-FTML Lebanon-LBNFL,22-05-2018,231
41503-Libancell -LBNLC,22-05-2018,71
41601-MTS Fastlink-JORFL,22-05-2018,1
41603-Umniah - Jordan-JORUM,22-05-2018,1
41677-Mobilecom -JORMC,22-05-2018,72
41702-Spacetel - Syria-SYRSP,22-05-2018,4
41805-Asiacell - Iraq-IRQAC,22-05-2018,4
41820-Atheer - Iraq-IRQAT,22-05-2018,1
41840-Korek Telecom LTD - Iraq-IRQKK,22-05-2018,3
41903-Wataniya Telecom-KWTNM,22-05-2018,104
41904-Viva Kuwait -KWTKT,22-05-2018,2
42001-Saudi Telephone Company-SAUAJ,22-05-2018,1143
42003-Etihad Etisalat - Saudi Arabia-SAUET,22-05-2018,1081
42202-GTO Oman-OMNGT,22-05-2018,103
42203-Oman Mobile - Oman-OMNNT,22-05-2018,7
42402-Etisalat-ARETC,22-05-2018,1661
42403-United Arab Emirates-AREDU,22-05-2018,230
42501-Partner Communication-ISR01,22-05-2018,2107
42502-Cellcom-ISRCL,22-05-2018,580
42503-Pelephone, Israel-ISRPL,22-05-2018,31
42505-Paltel-PSEJE,22-05-2018,2
42601-Bahrain Telecommunications-BHRBT,22-05-2018,14
42701-Qatar Telekom -QATQT,22-05-2018,1400
43211-Iran TeleCom Co-IRN11,22-05-2018,72
43701-Bitel -KGZ01,22-05-2018,7
44010-NTT DoCoMo-JPNDO,22-05-2018,355
44020-J-Phone-JPNJP,22-05-2018,23
44050-KDDI-JPNKD,22-05-2018,73
44051-KDDI Japan-JPNKI,22-05-2018,82
45005-SK Korea-KORSK,22-05-2018,279
45006-LG U+ South Korea-KORLU,22-05-2018,130
45008-KT Freetel 3G-KORKF,22-05-2018,33
45201-VMS Mobifone-VNMMO,22-05-2018,27
45202-GPC Vietnam-VNMVI,22-05-2018,12
45400-Hong Kong CSL -HKGTC,22-05-2018,96
45403-Hutchison 3G (Hong Kong)-HKGH3,22-05-2018,58
45406-SmarTone Mobile Hong Kong-HKGSM,22-05-2018,257
45412-Peoples Telephone Company -HKGPP,22-05-2018,21
45419-Sunday 3G - Hong Kong-HKGM3,22-05-2018,29
45501-Companhia Telecomunicoes-MACCT,22-05-2018,4
45601-CamGSM-KHMGM,22-05-2018,1
46000-China Telecom-CHNCT,22-05-2018,1519
46001-China Unicom-CHNCU,22-05-2018,542
46002-China Mobile - China-CHNCM,22-05-2018,466
46007-China Mobile 3rd-CHNTD,22-05-2018,81
46692-Chungwa Telecom LDM-TWNLD,22-05-2018,51
46697-Taiwan Cellular Corp-TWNPC,22-05-2018,9
47001-GrameenPhone-BGDGP,22-05-2018,20
47003-Banglalink - Bangladesh-BGDBL,22-05-2018,4
50212-Maxis-MYSBC,22-05-2018,16
50216-DiGi Telecommunications -MYSMT,22-05-2018,71
50219-Celcom-MYSCC,22-05-2018,9
50501-Telstra -AUSTA,22-05-2018,8734
50502-Optus Communications-AUSOP,22-05-2018,3376
51001-PT Satelindo Palapa-IDNSL,22-05-2018,5
51010-PT Telkomsel-IDNTS,22-05-2018,35
51502-Globe Telecom -PHLGT,22-05-2018,2
52003-AIS-THAWN,22-05-2018,412
52005-Thailand DTAC-THADT,22-05-2018,52
52501-Singtel GSM 900-SGPST,22-05-2018,754
52503-MobileOne-SGPM1,22-05-2018,3
52505-StarHub-SGPSH,22-05-2018,98
52802-B-Mobile Communications Sdn Bhd-BRNFT,22-05-2018,1
52811-DST Communications-BRNDS,22-05-2018,3
53001-Vodafone New Zealand-NZLBS,22-05-2018,45
53005-Telecom-NZLTM,22-05-2018,1358
53024-NZ Communications-NZLNH,22-05-2018,190
60201-Mobilnil-EGYAR,22-05-2018,810
60203-Etisalat - Egypt-EGYEM,22-05-2018,41
60301-PTT-AMN-DZAA1,22-05-2018,7
60303-Wataniya-DZAWT,22-05-2018,10
60400-Medi Telecom-MARMT,22-05-2018,51
60401-IAM-MARM1,22-05-2018,35
60402-Wana Morocco-MARM3,22-05-2018,2
60501-Orange Tunisia-TUNOR,22-05-2018,11
60502-Tunisie Telecom-TUNTT,22-05-2018,17
60601-El Madar Tel Co-LBY01,22-05-2018,10
60701-Gamcell-GMB01,22-05-2018,3
60702-Africell-GMBAC,22-05-2018,1
60801-Sonatel-SENAZ,22-05-2018,12
61002-Ikatel Sa-MLI02,22-05-2018,9
61101-Orange-GINGS,22-05-2018,28
61203-Orange Cote d'Ivoire-CIV03,22-05-2018,97
61701-Cellplus Mobile Communications-MUSCP,22-05-2018,34
61901-Celtel (SL) Limited-SLECT,22-05-2018,37
62001-Scancom -GHASC,22-05-2018,247
62006-Airtel Ghana-GHAZN,22-05-2018,6
62130-MTN-NGAMN,22-05-2018,2558
62150-Globacom - Nigeria-NGAGM,22-05-2018,566
62160-Etisalat Nigeria-NGAEM,22-05-2018,905
62401-MTN Cameroon-CMRMT,22-05-2018,10
62402-Orange Cameroon-CMR02,22-05-2018,8
63086-Orange-CODFT,22-05-2018,6
63102-Unitel-AGOUT,22-05-2018,80
63203-Orange-GNB03,22-05-2018,1
63301-Cable & Wireless-SYCCW,22-05-2018,5
63401-MobiTel Sudan-SUDMO,22-05-2018,6
63402-Bashair Telecom - Sudan-SDNBT,22-05-2018,3
63402-MTN-SSDMN,22-05-2018,3
63510-Rwandacell - Rwanda-RWAMN,22-05-2018,11
63902-Safaricom -KENSA,22-05-2018,213
63903-KenCell -KENKC,22-05-2018,41
64005-Celtel Tanzania-TZACT,22-05-2018,9
64101-Celtel Uganda-UGACE,22-05-2018,19
64110-MTN-UGAMN,22-05-2018,73
64111-Uganda Telecom-UGATL,22-05-2018,2
64114-Orange-UGAOR,22-05-2018,16
64301-TDM -MOZ01,22-05-2018,14
64502-Telecel Zambia-ZMB02,22-05-2018,5
64602-SMM - Madagascar-MDGAN,22-05-2018,2
64700-Orange Reunion - Reunion-REU02,22-05-2018,137
64801-Net One-ZWEN1,22-05-2018,1
64804-Econet-ZWEET,22-05-2018,27
64901-MTC Namibia -NAM01,22-05-2018,51
65201-Mascom Wireless -BWAGA,22-05-2018,15
65202-Orange Botswana-BWAVC,22-05-2018,29
65310-MTN Swaziland-SWZMN,22-05-2018,1
65501-Vodacom South Africa-ZAFVC,22-05-2018,10
65507-Cell C-ZAFCC,22-05-2018,58
65510-MTN South Africa-ZAFMN,22-05-2018,1043
70401-Sercom S.A-GTMSC,22-05-2018,1
71030-Telefonica Nicaragua-NICMS,22-05-2018,1
71201-ICE-CRICR,22-05-2018,1
71401-Cable & Wireless-PANCW,22-05-2018,2
72207-Argentina Telefonica-ARGTM,22-05-2018,19
72234-Personal Telecom-ARGTP,22-05-2018,114
72402-TIM Region 2 Rio Norte-BRARN,22-05-2018,48
72403-TIM Region 3 Sau Paulo-BRASP,22-05-2018,83
72404-TIM Region 1 Cellular Centro-BRACS,22-05-2018,29
72406-Vivo 2-BRAV2,22-05-2018,6
72410-Vivo 1-BRAV1,22-05-2018,15
72411-Vivo 3-BRAV3,22-05-2018,5
72423-Telemig - Brazil-BRATC,22-05-2018,2
72431-TNL (Oi)-BRATM,22-05-2018,2
73001-Entel Telefonia Movil -CHLMV,22-05-2018,22
73210-Occidente Y Caribe Celular Sa Oc-COLCM,22-05-2018,8
73212-Telefonica Moviles-COLTM,22-05-2018,6
73801-Digicel Guyana-GUYUM,22-05-2018,1
74404-Telefonica Celular - Paraguay-PRYTC,22-05-2018,3
74801-Antel-URYAN,22-05-2018,51
74807-Telefonica Moviles-URYTM,22-05-2018,5
90131-Orange France-AAZOR,22-05-2018,3
20201-Cosmote Mobile Telecom-GRCCO,23-05-2018,14611
20205-Vodafone Greece-GRCPF,23-05-2018,136
20209-Wind Greece (Q-Telecom)-GRCQT,23-05-2018,215
20210-Stet Hellas Telecommunications-GRCSH,23-05-2018,4318
20404-Vodafone Netherlands-NLDLT,23-05-2018,16391
20408-KPN Tel Netherlands -NLDPT,23-05-2018,8796
20412-Telfort-NLDTM,23-05-2018,406
20416-T-Mobile Netherlands-NLDPN,23-05-2018,65618
20420-Orange Netherlands-NLDDT,23-05-2018,33
20601-Belgacom Mobile -BELTB,23-05-2018,4084
20610-Mobistar-BELMO,23-05-2018,16762
20620-Base-BELKO,23-05-2018,456
20801-Orange France-FRAF1,23-05-2018,168289
20810-SFR France-FRAF2,23-05-2018,3
20815-Free Mobile -FRAF5,23-05-2018,12541
20815-France Free Mobile-FRAFM,23-05-2018,12541
20820-Bouygues Telecom-FRAF3,23-05-2018,47997
21201-Vala 900 (Monaco Telecom) -MCOM1,23-05-2018,6
21401-Vodafone Espaqa-ESPAT,23-05-2018,585
21403-Amena-ESPRT,23-05-2018,38106
21404-Xfera Moviles-ESPXF,23-05-2018,4749
21407-Telefonica Moviles-ESPTE,23-05-2018,7170
21421-Jazztel Spain -ESPJZ,23-05-2018,554
21601-Pannon GSM-HUNH1,23-05-2018,4633
21630-Westel 900 GSM-HUNH2,23-05-2018,11746
21670-Vodafone Hungary-HUNVR,23-05-2018,76
21805-MOBIS-BIHMS,23-05-2018,7
21901-HT Mobile-HRVCN,23-05-2018,3031
