imsi_prefix,date,Incoming data,Records count 
26001-Polkomtel -POLKM,19-05-2018,238962,15480                                  
26002-Era -POL02,19-05-2018,420638,28784                                        
26003-PTK Centeltel -POL03,19-05-2018,744146,60529                              
26006-P4 - 3G Poland-POLP4,19-05-2018,67,948                                    
26201-T-Mobile Germany-DEUD1,19-05-2018,2107580,830624                          
26202-Vodafone Germany-DEUD2,19-05-2018,13629,4366                              
26203-Eplus -DEUE1,19-05-2018,21281,8006                                        
26207-O2 Germany-DEUE2,19-05-2018,67626,15749                                   
26601-Gibtel Telecommunications -GIBGT,19-05-2018,4959,367                      
26801-Vodafone Portugal-PRTTL,19-05-2018,4003,785                               
26803-Optimus -PRTOP,19-05-2018,121786,7083                                     
26806-TMN-PRTTM,19-05-2018,110424,9887                                          
27001-Luxembourg P&T-LUXPT,19-05-2018,85788,31972                               
27077-Tango -LUXTG,19-05-2018,7590,634                                          
27099-VOX Mobile - Luxembourg-LUXVM,19-05-2018,36327,4946                       
27201-Vodafone Ireland-IRLEC,19-05-2018,6364,17452                              
27202-O2 Ireland-IRLDF,19-05-2018,16685,69263                                   
27203-Meteor-IRLME,19-05-2018,960157,48425                                      
27401-Landssimi Islands -ISLPS,19-05-2018,5359,349                              
27402-TAL -ISLTL,19-05-2018,4857,725                                            
27404-IMC - Iceland-ISLVW,19-05-2018,1,1                                        
27411-Nova Iceland-ISLK9,19-05-2018,16157,1528                                  
27411-Nova Efh-ISLNO,19-05-2018,16157,1528                                      
27601-AMC (Albanian Mobile) -ALBAM,19-05-2018,1815,667                          
27602-Vodafone Albania-ALBVF,19-05-2018,0,1                                     
27801-Vodafone Malta-MLTTL,19-05-2018,2731,489                                  
27821-Go Mobile -MLTGO,19-05-2018,20483,1796                                    
28001-Cyprus Telecommunications Author-CYPCT,19-05-2018,312,240                 
28010-Scancom (Cyprus)-CYPSC,19-05-2018,18846,2106                              
28020-CYPRUS Primtel-CYPPT,19-05-2018,135,44                                    
28310-Orange-ARMOR,19-05-2018,173,32                                            
28401-MobiTel AD Bulgaria-BGR01,19-05-2018,1895,285                             
28403-Bulgarian Telecom -  Bulgaria-BGRVA,19-05-2018,37964,3326                 
28405-Globul - Cosmo Bulgaria -BGRCM,19-05-2018,315388,16978                    
28601-Turkcell-TURTC,19-05-2018,162026,7084                                     
28603-IS TIM-TURIS,19-05-2018,12619,772                                         
29001-Tele Greenland -GRLTG,19-05-2018,24,4                                     
29340-SI-Mobil-SVNSM,19-05-2018,1489,187                                        
29341-Mobitel Slovenia-SVNMT,19-05-2018,15890,497                               
29364-T-2 d.o.o. Slovenia-SVNFT,19-05-2018,186,14                               
29401-Makedonski Telekomunikacii-MKDMM,19-05-2018,120,35                        
29502-VIAG Europlatform-LIEK9,19-05-2018,45,8                                   
29502-VIAG Europlatform-LIEVE,19-05-2018,45,8                                   
29505-Mobilkom-LIEMK,19-05-2018,2097,1506                                       
29702-T-Mobile Montenegro-MNETM,19-05-2018,926,81                               
30222-Telus Canada-CANTS,19-05-2018,70748,10048                                 
30237-Microcell (Fido)-CANMC,19-05-2018,2825,1436                               
30261-Bell Mobility-CANBM,19-05-2018,60394,8626                                 
30272-Rogers Wireless -CANRW,19-05-2018,31596,7905                              
31017-Cingular (Pacific Bell Services)-USAPB,19-05-2018,13564,10643             
31026-T-Mobile- USAW6-USAW6,19-05-2018,878782,153768                            
31041-Cingular (Genesis)-USACG,19-05-2018,1081979,150816                        
31148-Verizon-USAVZ,19-05-2018,0,3                                              
33402-Radiomovil-MEXTL,19-05-2018,2568,1394                                     
33403-Mexico - Telefonica-MEXMS,19-05-2018,86,4                                 
33405-Iusacell Mexico-MEXIU,19-05-2018,35,45                                    
33805-Digicel Barbados Barbados-BRBDC,19-05-2018,161,164                        
33805-Digicel Mossel-JAMDC,19-05-2018,161,164                                   
33818-C&W/Jamaica-JAMCW,19-05-2018,0,42                                         
34001-Orange Caraïbe (FWI)-GLP01,19-05-2018,4026,131                            
34020-FWI Bouygues Telecom-FRAF4,19-05-2018,186,11                              
34492-Antigua C&W-ATGCW,19-05-2018,1,4                                          
34614-C&W/Cayman-CYMCW,19-05-2018,54,94                                         
34817-Cable Wireless-VGBCW,19-05-2018,1,2                                       
35000-Bermuda Digital-BMUBD,19-05-2018,30,9                                     
35211-Grenada-GRDCW,19-05-2018,0,2                                              
35486-Montserrat C & W-MSRCW,19-05-2018,0,5                                     
