imsi_prefix,date,Incoming data,Records count 
51001-PT Satelindo Palapa-IDNSL,21-05-2018,642,31                               
51010-PT Telkomsel-IDNTS,21-05-2018,1548,286                                    
51502-Globe Telecom -PHLGT,21-05-2018,149,32                                    
52000-Thailand, True Move-THACT,21-05-2018,172,121                              
52003-AIS-THAWN,21-05-2018,178300,8857                                          
52005-Thailand DTAC-THADT,21-05-2018,3965,199                                   
52018-Total Access Communications-THAWP,21-05-2018,42,13                        
52501-Singtel GSM 900-SGPST,21-05-2018,45326,3997                               
52505-StarHub-SGPSH,21-05-2018,6416,604                                         
52811-DST Communications-BRNDS,21-05-2018,15,16                                 
53001-Vodafone New Zealand-NZLBS,21-05-2018,1065,388                            
53005-Telecom-NZLTM,21-05-2018,24728,5082                                       
53024-NZ Communications-NZLNH,21-05-2018,2909,435                               
60201-Mobilnil-EGYAR,21-05-2018,4031,822                                        
60203-Etisalat - Egypt-EGYEM,21-05-2018,25,34                                   
60303-Wataniya-DZAWT,21-05-2018,1,2                                             
60400-Medi Telecom-MARMT,21-05-2018,301,3783                                    
60401-IAM-MARM1,21-05-2018,145,10                                               
60402-Wana Morocco-MARM3,21-05-2018,0,3                                         
60502-Tunisie Telecom-TUNTT,21-05-2018,1,32                                     
60801-Sonatel-SENAZ,21-05-2018,13,4                                             
61101-Orange-GINGS,21-05-2018,75,7                                              
61701-Cellplus Mobile Communications-MUSCP,21-05-2018,6,24                      
61901-Celtel (SL) Limited-SLECT,21-05-2018,0,2                                  
62001-Scancom -GHASC,21-05-2018,203,154                                         
62003-Mobitel-GHAMT,21-05-2018,3,2                                              
62006-Airtel Ghana-GHAZN,21-05-2018,9,148                                       
62130-MTN-NGAMN,21-05-2018,2118,3241                                            
62150-Globacom - Nigeria-NGAGM,21-05-2018,145,17                                
62160-Etisalat Nigeria-NGAEM,21-05-2018,1372,20754                              
63001-Vodacom Congo (Democratic)-CODVC,21-05-2018,13,9                          
63102-Unitel-AGOUT,21-05-2018,23,24                                             
63510-Rwandacell - Rwanda-RWAMN,21-05-2018,2,24                                 
63902-Safaricom -KENSA,21-05-2018,101,222                                       
63903-KenCell -KENKC,21-05-2018,61,25                                           
64005-Celtel Tanzania-TZACT,21-05-2018,4,456                                    
64101-Celtel Uganda-UGACE,21-05-2018,6,590                                      
64110-MTN-UGAMN,21-05-2018,19,7                                                 
64304-Vodacom-MOZVC,21-05-2018,0,1                                              
64501-Celtel Zambia-ZMBCE,21-05-2018,6,2                                        
64602-SMM - Madagascar-MDGAN,21-05-2018,0,7                                     
64804-Econet-ZWEET,21-05-2018,20,25                                             
65202-Orange Botswana-BWAVC,21-05-2018,2,67                                     
65501-Vodacom South Africa-ZAFVC,21-05-2018,23,5                                
65507-Cell C-ZAFCC,21-05-2018,6,2                                               
65510-MTN South Africa-ZAFMN,21-05-2018,1240,3476                               
70604-Telefonica - EL SALVADOR-SLVTS,21-05-2018,3,3                             
71401-Cable & Wireless-PANCW,21-05-2018,1,1                                     
71402-Telefonica Moviles-PANMS,21-05-2018,2,1                                   
71606-Telefonica Moviles-PERMO,21-05-2018,4,4                                   
72207-Argentina Telefonica-ARGTM,21-05-2018,325,137                             
72234-Personal Telecom-ARGTP,21-05-2018,2039,467                                
72402-TIM Region 2 Rio Norte-BRARN,21-05-2018,499,641                           
72403-TIM Region 3 Sau Paulo-BRASP,21-05-2018,1005,492                          
72404-TIM Region 1 Cellular Centro-BRACS,21-05-2018,511,399                     
72406-Vivo 2-BRAV2,21-05-2018,83,37                                             
72410-Vivo 1-BRAV1,21-05-2018,495,218                                           
72411-Vivo 3-BRAV3,21-05-2018,304,129                                           
72423-Telemig - Brazil-BRATC,21-05-2018,29,14                                   
72431-TNL (Oi)-BRATM,21-05-2018,14,14                                           
73001-Entel Telefonia Movil -CHLMV,21-05-2018,370,86                            
73212-Telefonica Moviles-COLTM,21-05-2018,144,31                                
73801-Digicel Guyana-GUYUM,21-05-2018,1,5                                       
74000-Otecel-ECUOT,21-05-2018,0,1                                               
74801-Antel-URYAN,21-05-2018,39,11                                              
74807-Telefonica Moviles-URYTM,21-05-2018,8,6                                   
90131-Orange France-AAZOR,21-05-2018,5,8                                        
90137-Transatel-AAZTR,21-05-2018,6165,243                                       
90140-Telekom Deutschland Global SIM-AAZTD,21-05-2018,131,42                    
20201-Cosmote Mobile Telecom-GRCCO,22-05-2018,150809,18856                      
20205-Vodafone Greece-GRCPF,22-05-2018,1202,248                                 
20210-Stet Hellas Telecommunications-GRCSH,22-05-2018,27386,3879                
20404-Vodafone Netherlands-NLDLT,22-05-2018,28859,846098                        
20408-KPN Tel Netherlands -NLDPT,22-05-2018,674566,1052108                      
20412-Telfort-NLDTM,22-05-2018,10149,1001                                       
20416-T-Mobile Netherlands-NLDPN,22-05-2018,779475,47908                        
20420-Orange Netherlands-NLDDT,22-05-2018,48,23                                 
20601-Belgacom Mobile -BELTB,22-05-2018,39033,7616                              
20610-Mobistar-BELMO,22-05-2018,201590,102767                                   
20620-Base-BELKO,22-05-2018,10377,974                                           
20801-Orange France-FRAF1,22-05-2018,3866523,562333                             
20810-SFR France-FRAF2,22-05-2018,0,48                                          
20815-Free Mobile -FRAF5,22-05-2018,20388,2406                                  
20815-France Free Mobile-FRAFM,22-05-2018,20388,2406                            
20820-Bouygues Telecom-FRAF3,22-05-2018,945119,113442                           
21401-Vodafone Espaqa-ESPAT,22-05-2018,16061,3628                               
21403-Amena-ESPRT,22-05-2018,1492628,123247                                     
21404-Xfera Moviles-ESPXF,22-05-2018,282114,16354                               
21407-Telefonica Moviles-ESPTE,22-05-2018,66534,107313                          
21421-Jazztel Spain -ESPJZ,22-05-2018,15167,1544                                
21601-Pannon GSM-HUNH1,22-05-2018,94598,8533                                    
21630-Westel 900 GSM-HUNH2,22-05-2018,257800,22024                              
21670-Vodafone Hungary-HUNVR,22-05-2018,1976,300                                
21901-HT Mobile-HRVCN,22-05-2018,77879,5767                                     
21910-VIP Net GSM -HRVVI,22-05-2018,42,49                                       
22001-Mobtel-YUGMT,22-05-2018,0,4                                               
22003-Telekom Srbija-YUGTS,22-05-2018,24,22                                     
22201-TIM Italy -ITASI,22-05-2018,631195,59718                                  
22210-Vodafone Omnitel-ITAOM,22-05-2018,23821,5168                              
22288-Wind Italy-ITAWI,22-05-2018,728025,73767                                  
22299-Hutchinson 3G - Italy-ITAH3,22-05-2018,20294,3292                         
22601-Mobifon -ROMMF,22-05-2018,9525,2146                                       
22603-Cosmorom-ROMCS,22-05-2018,183984,12483                                    
22610-Orange Romania-ROMMR,22-05-2018,791726,50028                              
22801-Swisscom-CHEC1,22-05-2018,299100,31068                                    
22802-sunrise-CHEDX,22-05-2018,33750,6250                                       
22803-Orange Switzerland-CHEOR,22-05-2018,71595,7945                            
23001-T-Mobile Czech-CZERM,22-05-2018,267152,18503                              
23002-Eurotel Praha -CZEET,22-05-2018,1596,496                                  
23003-Cesky Mobil -CZECM,22-05-2018,10396,978                                   
23101-Orange Slovakia-SVKGT,22-05-2018,86610,7402                               
23102-Eurotel Bratislava-SVKET,22-05-2018,64823,5580                            
23106-Telefonica o2-SVKO2,22-05-2018,487,128                                    
23201-Mobilkom Austria-AUTPT,22-05-2018,75929,9601                              
23203-T-Mobile Austria-AUTMM,22-05-2018,202825,729682                           
23205-Connect -AUTCA,22-05-2018,2224,689                                        
23207-Tele Ring Telekom -AUTTR,22-05-2018,46762,5095                            
23403-Airtel-GBRAJ,22-05-2018,726,212                                           
23418-Cloud 9-GBRC9,22-05-2018,36,77                                            
23450-Jersey Telecoms -GBRJT,22-05-2018,23227,257061                            
23455-Guernsey Telecom-GBRGT,22-05-2018,2097,2295                               
23458-Manx Telecom-GBRMT,22-05-2018,13912,230815                                
23801-Tele Danmark Mobil-DNKTD,22-05-2018,362847,21849                          
23802-Sonofon -DNKDM,22-05-2018,236800,282487                                   
23806-Hi3G - Denmark-DNKHU,22-05-2018,1576,181                                  
23820-Telia Mobile (Denmark)-DNKIA,22-05-2018,355930,16011                      
24001-Telia Mobitel (Sweden)-SWETR,22-05-2018,640315,37412                      
24002-HI 3G-SWEHU,22-05-2018,190,90                                             
24007-Tele2 AB-SWEIQ,22-05-2018,339151,138877                                   
24008-Vodafone Sweden-SWEEP,22-05-2018,235712,366107                            
24010-Tele2-SWESM,22-05-2018,2,18                                               
24042-Sweden Telenor-SWECN,22-05-2018,1182,96734                                
24201-Telenor Mobil -NORTM,22-05-2018,833783,131283                             
24202-NetCom-NORNC,22-05-2018,345996,40124                                      
24205-Telia Norge Norway-NORNN,22-05-2018,72287,17110                           
24405-Radiolinja Finland-FINRL,22-05-2018,3551,717                              
24412-Finnish 2G-FIN2G,22-05-2018,6461,12980                                    
24421-Elisa (2nd code)-FINES,22-05-2018,292,23                                  
24491-Sonera Corporation-FINTF,22-05-2018,252250,12100                          
24601-Omnitel Lithuania-LTUOM,22-05-2018,77729,6990                             
24602-Bite GSM-LTUMT,22-05-2018,7,11                                            
24603-Tele2-LTU03,22-05-2018,102771,13599                                       
24701-Latvian Mobile Telephone-LVALM,22-05-2018,92150,15162                     
24702-Baltcom GSM -LVABC,22-05-2018,50483,6116                                  
24801-Estonian Mob Tel-ESTEM,22-05-2018,64356,4281                              
24802-Radiolinja Estonia-ESTRE,22-05-2018,1577,184                              
24803-Estonia Ritabell (Tele2)-ESTRB,22-05-2018,24806,19081                     
25001-MTS-RUS01,22-05-2018,14368,1999                                           
25002-MegaFon -RUSNW,22-05-2018,9475,940                                        
25099-VimpelCom-RUSBD,22-05-2018,23758,15861                                    
25501-Ukraine Mobile Communications-UKRUM,22-05-2018,2,4                        
25503-Kyvistar GSM-UKRKS,22-05-2018,8336,1650                                   
25506-Astelit LLC-UKRAS,22-05-2018,671,168                                      
25901-Voxtel-MDAVX,22-05-2018,55,21                                             
26001-Polkomtel -POLKM,22-05-2018,283987,20958                                  
26002-Era -POL02,22-05-2018,480795,38810                                        
26003-PTK Centeltel -POL03,22-05-2018,758375,80091                              
26006-P4 - 3G Poland-POLP4,22-05-2018,1066,437                                  
26201-T-Mobile Germany-DEUD1,22-05-2018,2263325,1138507                         
26202-Vodafone Germany-DEUD2,22-05-2018,17018,6533                              
26203-Eplus -DEUE1,22-05-2018,18704,10474                                       
26207-O2 Germany-DEUE2,22-05-2018,66164,20631                                   
26601-Gibtel Telecommunications -GIBGT,22-05-2018,5963,389                      
26801-Vodafone Portugal-PRTTL,22-05-2018,3819,912                               
26803-Optimus -PRTOP,22-05-2018,155038,8150                                     
26806-TMN-PRTTM,22-05-2018,117952,11428                                         
27001-Luxembourg P&T-LUXPT,22-05-2018,101334,43424                              
27077-Tango -LUXTG,22-05-2018,8872,926                                          
27099-VOX Mobile - Luxembourg-LUXVM,22-05-2018,34457,6005                       
27201-Vodafone Ireland-IRLEC,22-05-2018,7634,31741                              
27202-O2 Ireland-IRLDF,22-05-2018,19154,129378                                  
27203-Meteor-IRLME,22-05-2018,710670,42494                                      
27401-Landssimi Islands -ISLPS,22-05-2018,3603,223                              
27402-TAL -ISLTL,22-05-2018,3551,563                                            
27411-Nova Iceland-ISLK9,22-05-2018,10719,926                                   
27411-Nova Efh-ISLNO,22-05-2018,10719,926                                       
27601-AMC (Albanian Mobile) -ALBAM,22-05-2018,3,128                             
27602-Vodafone Albania-ALBVF,22-05-2018,0,2                                     
27801-Vodafone Malta-MLTTL,22-05-2018,456,616                                   
27821-Go Mobile -MLTGO,22-05-2018,7129,1207                                     
28001-Cyprus Telecommunications Author-CYPCT,22-05-2018,248,101                 
28010-Scancom (Cyprus)-CYPSC,22-05-2018,14462,2423                              
28020-CYPRUS Primtel-CYPPT,22-05-2018,10,30                                     
28310-Orange-ARMOR,22-05-2018,378,26                                            
28401-MobiTel AD Bulgaria-BGR01,22-05-2018,1247,739                             
28403-Bulgarian Telecom -  Bulgaria-BGRVA,22-05-2018,46692,4106                 
28405-Globul - Cosmo Bulgaria -BGRCM,22-05-2018,336738,25891                    
28601-Turkcell-TURTC,22-05-2018,153924,9226                                     
28603-IS TIM-TURIS,22-05-2018,14510,1155                                        
28604-Aycell - Turkey-TURAC,22-05-2018,0,1                                      
29340-SI-Mobil-SVNSM,22-05-2018,2039,193                                        
29341-Mobitel Slovenia-SVNMT,22-05-2018,10233,554                               
29364-T-2 d.o.o. Slovenia-SVNFT,22-05-2018,342,11                               
29401-Makedonski Telekomunikacii-MKDMM,22-05-2018,98,43                         
29505-Mobilkom-LIEMK,22-05-2018,1438,2536                                       
29701-Telenor Montenegro-MNEPM,22-05-2018,0,2                                   
29702-T-Mobile Montenegro-MNETM,22-05-2018,676,160                              
30222-Telus Canada-CANTS,22-05-2018,79551,11616                                 
30237-Microcell (Fido)-CANMC,22-05-2018,2757,1600                               
30261-Bell Mobility-CANBM,22-05-2018,59919,9584                                 
30272-Rogers Wireless -CANRW,22-05-2018,37817,9873                              
31017-Cingular (Pacific Bell Services)-USAPB,22-05-2018,5747,19945              
31026-T-Mobile- USAW6-USAW6,22-05-2018,1071708,206470                           
31038-AT&T Mobility P.Rico Puerto Rico-PRIAT,22-05-2018,0,1                     
31038-AT&T Wireless-USAAT,22-05-2018,0,1                                        
31041-Cingular (Genesis)-USACG,22-05-2018,1688753,219008                        
31148-Verizon-USAVZ,22-05-2018,2900,59                                          
33402-Radiomovil-MEXTL,22-05-2018,2472,1640                                     
33403-Mexico - Telefonica-MEXMS,22-05-2018,46,9                                 
33405-Iusacell Mexico-MEXIU,22-05-2018,25,51                                    
33805-Digicel Barbados Barbados-BRBDC,22-05-2018,167,300                        
33805-Digicel Mossel-JAMDC,22-05-2018,167,300                                   
33818-C&W/Jamaica-JAMCW,22-05-2018,0,36                                         
34001-Orange Caraïbe (FWI)-GLP01,22-05-2018,2806,178                            
34020-FWI Bouygues Telecom-FRAF4,22-05-2018,242,19                              
34260-C&W/Barbados-BRBCW,22-05-2018,1,33                                        
34492-Antigua C&W-ATGCW,22-05-2018,34,9                                         
34614-C&W/Cayman-CYMCW,22-05-2018,18,26                                         
34817-Cable Wireless-VGBCW,22-05-2018,9,3                                       
35000-Bermuda Digital-BMUBD,22-05-2018,3,7                                      
35211-Grenada-GRDCW,22-05-2018,0,3                                              
35486-Montserrat C & W-MSRCW,22-05-2018,0,1                                     
35811-ST Lucia-LCACW,22-05-2018,0,17                                            
36011-St Vincent - C & W-VCTCW,22-05-2018,0,2                                   
36439-BTC-BHSBH,22-05-2018,3,5                                                  
36584-Anguillia C&W-AIACW,22-05-2018,1,29                                       
36611-Dominica - C & W-DMACW,22-05-2018,0,2                                     
37001-Orange Dominican Republic-DOM01,22-05-2018,80,6                           
37413-Digicel Trinidad-TTODL,22-05-2018,1,8                                     
37635-Turks & Calcos - C & W-TCACW,22-05-2018,0,2                               
40001-Azercell Telecom-AZEAC,22-05-2018,30,40                                   
40101-Kar-tel -KAZKT,22-05-2018,127,30                                          
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,22-05-2018,2904,1146               
40403-Airtel Bharti [Himachal Pradesh]-INDBL,22-05-2018,173,10                  
40404-Idea Cellular Delhi-INDID,22-05-2018,34,21                                
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,22-05-2018,2339,242                
40407-Idea Cellular [Andhra Pradesh] I-IND07,22-05-2018,258,28                  
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,22-05-2018,32431,4476              
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,22-05-2018,1476,513                
40412-Escotel [Haryana] INDEH - 40412-INDEH,22-05-2018,1,10                     
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,22-05-2018,99,18                   
40419-Escotel [Kerala] INDEK - 40419-INDEK,22-05-2018,123,8                     
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,22-05-2018,11406,1453              
40422-Idea Cellular [Maharashtra] INDB-INDBO,22-05-2018,1115,89                 
40424-Idea Cellular [Gujarat] INDBI - -INDBI,22-05-2018,31,15                   
40427-BPL Cellular [Maharashtra]-INDBM,22-05-2018,477,81                        
40430-Hutchison [Calcutta] INDCC - 404-INDCC,22-05-2018,1372,173                
40431-Airtel Bharti [Calcutta] INDMT --INDMT,22-05-2018,5609,1932               
40440-Airtel Bharti [Chennai] INDSC - -INDSC,22-05-2018,11975,1994              
40443-BPL Cellular [Tamil Nadu] INDBT--INDBT,22-05-2018,54,17                   
40444-Spice Telekom [Karnataka] INDSK -INDSK,22-05-2018,700,21                  
40445-Airtel Bharti [Karnataka] INDJB -INDJB,22-05-2018,25540,3883              
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,22-05-2018,165,19                  
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,22-05-2018,15506,2145              
40456-Escotel [UP West]-INDEU,22-05-2018,122,13                                 
40470-Airtel India [Rajasthan] INDH1-INDH1,22-05-2018,2418,403                  
40490-Airtel Bharti [Maharashtra]-INDA2,22-05-2018,3550,2333                    
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,22-05-2018,18395,11547             
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,22-05-2018,1327,105                
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,22-05-2018,1187,394                 
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,22-05-2018,756,108                 
40496-Airtel Bharti [Haryana]-INDA5,22-05-2018,311,75                           
40497-Airtel Bharti [UP West] INDA6 - -INDA6,22-05-2018,1805,104                
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,22-05-2018,585,491                  
40579-Idea Cellular Mumbai -INDIM,22-05-2018,7,8                                
41001-Mobilink-PAKMK,22-05-2018,69,29                                           
41220-TDCA-AFGTD,22-05-2018,4,4                                                 
41301-Mobitel - Sri Lanka-LKA71,22-05-2018,138,19                               
41302-MTN Sri Lanka-LKADG,22-05-2018,5181,878                                   
41305-Bharti Airtel Lanka-LKAAT,22-05-2018,2,230                                
41501-FTML Lebanon-LBNFL,22-05-2018,17,8                                        
41503-Libancell -LBNLC,22-05-2018,6,3                                           
41601-MTS Fastlink-JORFL,22-05-2018,0,1                                         
41677-Mobilecom -JORMC,22-05-2018,3,1                                           
41805-Asiacell - Iraq-IRQAC,22-05-2018,1,2                                      
41903-Wataniya Telecom-KWTNM,22-05-2018,4249,128                                
41904-Viva Kuwait -KWTKT,22-05-2018,208,4                                       
42001-Saudi Telephone Company-SAUAJ,22-05-2018,11326,1153                       
42003-Etihad Etisalat - Saudi Arabia-SAUET,22-05-2018,29489,1391                
42202-GTO Oman-OMNGT,22-05-2018,135,35                                          
42402-Etisalat-ARETC,22-05-2018,25319,3360                                      
42403-United Arab Emirates-AREDU,22-05-2018,5057,1071                           
42501-Partner Communication-ISR01,22-05-2018,63585,72121                        
42502-Cellcom-ISRCL,22-05-2018,18629,1618                                       
42503-Pelephone, Israel-ISRPL,22-05-2018,462,179                                
42601-Bahrain Telecommunications-BHRBT,22-05-2018,364,95                        
42701-Qatar Telekom -QATQT,22-05-2018,31338,2599                                
43211-Iran TeleCom Co-IRN11,22-05-2018,571,57                                   
44010-NTT DoCoMo-JPNDO,22-05-2018,15627,4055                                    
44020-J-Phone-JPNJP,22-05-2018,1852,336                                         
44050-KDDI-JPNKD,22-05-2018,7474,908                                            
44051-KDDI Japan-JPNKI,22-05-2018,3622,343                                      
45005-SK Korea-KORSK,22-05-2018,11255,5404                                      
45006-LG U+ South Korea-KORLU,22-05-2018,11392,1019                             
45008-KT Freetel 3G-KORKF,22-05-2018,5116,893                                   
45202-GPC Vietnam-VNMVI,22-05-2018,0,1                                          
45400-Hong Kong CSL -HKGTC,22-05-2018,10530,969                                 
45403-Hutchison 3G (Hong Kong)-HKGH3,22-05-2018,2248,432                        
45406-SmarTone Mobile Hong Kong-HKGSM,22-05-2018,38326,2713                     
45412-Peoples Telephone Company -HKGPP,22-05-2018,1933,196                      
45419-Sunday 3G - Hong Kong-HKGM3,22-05-2018,3562,216                           
45503-Hutchison Telephone Macau -MACHT,22-05-2018,0,1                           
46000-China Telecom-CHNCT,22-05-2018,135981,10542                               
46001-China Unicom-CHNCU,22-05-2018,28782,12233                                 
46002-China Mobile - China-CHNCM,22-05-2018,14241,1284                          
46007-China Mobile 3rd-CHNTD,22-05-2018,3399,533                                
46601-Far EasTone Telecommunications-TWNFE,22-05-2018,17,4                      
46692-Chungwa Telecom LDM-TWNLD,22-05-2018,10284,567                            
46697-Taiwan Cellular Corp-TWNPC,22-05-2018,2933,130                            
47001-GrameenPhone-BGDGP,22-05-2018,0,14                                        
50216-DiGi Telecommunications -MYSMT,22-05-2018,10752,5301                      
50219-Celcom-MYSCC,22-05-2018,196,14                                            
50501-Telstra -AUSTA,22-05-2018,181312,39095                                    
50502-Optus Communications-AUSOP,22-05-2018,36772,25682                         
51001-PT Satelindo Palapa-IDNSL,22-05-2018,186,106                              
51010-PT Telkomsel-IDNTS,22-05-2018,2286,462                                    
51502-Globe Telecom -PHLGT,22-05-2018,17,62                                     
52000-Thailand, True Move-THACT,22-05-2018,259,145                              
52003-AIS-THAWN,22-05-2018,187178,9381                                          
52005-Thailand DTAC-THADT,22-05-2018,4043,220                                   
52018-Total Access Communications-THAWP,22-05-2018,68,7                         
52501-Singtel GSM 900-SGPST,22-05-2018,53484,5696                               
52505-StarHub-SGPSH,22-05-2018,4953,525                                         
52811-DST Communications-BRNDS,22-05-2018,4,1                                   
53001-Vodafone New Zealand-NZLBS,22-05-2018,964,379                             
53005-Telecom-NZLTM,22-05-2018,24523,5009                                       
53024-NZ Communications-NZLNH,22-05-2018,1416,463                               
60201-Mobilnil-EGYAR,22-05-2018,3038,1024                                       
60203-Etisalat - Egypt-EGYEM,22-05-2018,76,20                                   
60400-Medi Telecom-MARMT,22-05-2018,874,2495                                    
60401-IAM-MARM1,22-05-2018,46,8                                                 
60402-Wana Morocco-MARM3,22-05-2018,0,4                                         
60502-Tunisie Telecom-TUNTT,22-05-2018,1,11                                     
60801-Sonatel-SENAZ,22-05-2018,2,3                                              
61002-Ikatel Sa-MLI02,22-05-2018,1,2                                            
61101-Orange-GINGS,22-05-2018,178,19                                            
61203-Orange Cote d'Ivoire-CIV03,22-05-2018,9,5                                 
61701-Cellplus Mobile Communications-MUSCP,22-05-2018,6,13                      
61807-Celcom Telecom - Liberia-LBR07,22-05-2018,0,1                             
61901-Celtel (SL) Limited-SLECT,22-05-2018,0,1                                  
62001-Scancom -GHASC,22-05-2018,527,236                                         
62006-Airtel Ghana-GHAZN,22-05-2018,5,132                                       
62130-MTN-NGAMN,22-05-2018,3074,3225                                            
62150-Globacom - Nigeria-NGAGM,22-05-2018,0,1                                   
62160-Etisalat Nigeria-NGAEM,22-05-2018,596,22233                               
63001-Vodacom Congo (Democratic)-CODVC,22-05-2018,0,2                           
63102-Unitel-AGOUT,22-05-2018,3,37                                              
63301-Cable & Wireless-SYCCW,22-05-2018,7,3                                     
63510-Rwandacell - Rwanda-RWAMN,22-05-2018,23,70                                
63902-Safaricom -KENSA,22-05-2018,123,191                                       
63903-KenCell -KENKC,22-05-2018,80,14                                           
64005-Celtel Tanzania-TZACT,22-05-2018,24,151                                   
64101-Celtel Uganda-UGACE,22-05-2018,8,731                                      
64110-MTN-UGAMN,22-05-2018,22,7                                                 
64304-Vodacom-MOZVC,22-05-2018,0,1                                              
64602-SMM - Madagascar-MDGAN,22-05-2018,2,128                                   
64804-Econet-ZWEET,22-05-2018,144,47                                            
65202-Orange Botswana-BWAVC,22-05-2018,21,57                                    
65501-Vodacom South Africa-ZAFVC,22-05-2018,35,6                                
65507-Cell C-ZAFCC,22-05-2018,19,8                                              
65510-MTN South Africa-ZAFMN,22-05-2018,1341,3517                               
71402-Telefonica Moviles-PANMS,22-05-2018,3,2                                   
71606-Telefonica Moviles-PERMO,22-05-2018,0,3                                   
72207-Argentina Telefonica-ARGTM,22-05-2018,655,154                             
72234-Personal Telecom-ARGTP,22-05-2018,2259,505                                
72402-TIM Region 2 Rio Norte-BRARN,22-05-2018,470,641                           
72403-TIM Region 3 Sau Paulo-BRASP,22-05-2018,1507,581                          
72404-TIM Region 1 Cellular Centro-BRACS,22-05-2018,400,393                     
72406-Vivo 2-BRAV2,22-05-2018,258,108                                           
72410-Vivo 1-BRAV1,22-05-2018,867,251                                           
72411-Vivo 3-BRAV3,22-05-2018,564,111                                           
72423-Telemig - Brazil-BRATC,22-05-2018,300,40                                  
72431-TNL (Oi)-BRATM,22-05-2018,3,4                                             
73001-Entel Telefonia Movil -CHLMV,22-05-2018,611,70                            
73212-Telefonica Moviles-COLTM,22-05-2018,182,33                                
73801-Digicel Guyana-GUYUM,22-05-2018,1,6                                       
74000-Otecel-ECUOT,22-05-2018,1,4                                               
74801-Antel-URYAN,22-05-2018,25,7                                               
74807-Telefonica Moviles-URYTM,22-05-2018,40,12                                 
90131-Orange France-AAZOR,22-05-2018,8,8                                        
90137-Transatel-AAZTR,22-05-2018,3910,173                                       
90140-Telekom Deutschland Global SIM-AAZTD,22-05-2018,44,34                     
20201-Cosmote Mobile Telecom-GRCCO,23-05-2018,117912,18344                      
20205-Vodafone Greece-GRCPF,23-05-2018,676,194                                  
20210-Stet Hellas Telecommunications-GRCSH,23-05-2018,24586,3370                
20404-Vodafone Netherlands-NLDLT,23-05-2018,31632,825171                        
20408-KPN Tel Netherlands -NLDPT,23-05-2018,1198035,1063125                     
20412-Telfort-NLDTM,23-05-2018,6496,984                                         
20416-T-Mobile Netherlands-NLDPN,23-05-2018,885034,52651                        
20420-Orange Netherlands-NLDDT,23-05-2018,28,20                                 
20601-Belgacom Mobile -BELTB,23-05-2018,36315,7597                              
20610-Mobistar-BELMO,23-05-2018,221906,119521                                   
20620-Base-BELKO,23-05-2018,8997,943                                            
20801-Orange France-FRAF1,23-05-2018,4005127,588277                             
20810-SFR France-FRAF2,23-05-2018,0,86                                          
20815-Free Mobile -FRAF5,23-05-2018,109380,6248                                 
20815-France Free Mobile-FRAFM,23-05-2018,109380,6248                           
20820-Bouygues Telecom-FRAF3,23-05-2018,996454,114866                           
21401-Vodafone Espaqa-ESPAT,23-05-2018,14697,3804                               
21403-Amena-ESPRT,23-05-2018,1393066,114677                                     
21404-Xfera Moviles-ESPXF,23-05-2018,264168,15505                               
21407-Telefonica Moviles-ESPTE,23-05-2018,68007,105728                          
21421-Jazztel Spain -ESPJZ,23-05-2018,12302,1454                                
21601-Pannon GSM-HUNH1,23-05-2018,103765,7707                                   
21630-Westel 900 GSM-HUNH2,23-05-2018,233732,20229                              
21670-Vodafone Hungary-HUNVR,23-05-2018,2025,207                                
21901-HT Mobile-HRVCN,23-05-2018,75738,5593                                     
21910-VIP Net GSM -HRVVI,23-05-2018,391,91                                      
22001-Mobtel-YUGMT,23-05-2018,1,2                                               
22003-Telekom Srbija-YUGTS,23-05-2018,12,10                                     
22201-TIM Italy -ITASI,23-05-2018,604289,57998                                  
22210-Vodafone Omnitel-ITAOM,23-05-2018,23205,4590                              
22288-Wind Italy-ITAWI,23-05-2018,641333,69355                                  
22299-Hutchinson 3G - Italy-ITAH3,23-05-2018,13457,2753                         
22601-Mobifon -ROMMF,23-05-2018,8972,1844                                       
22603-Cosmorom-ROMCS,23-05-2018,185872,11368                                    
22610-Orange Romania-ROMMR,23-05-2018,736063,52531                              
22801-Swisscom-CHEC1,23-05-2018,295766,30445                                    
22802-sunrise-CHEDX,23-05-2018,29721,20680                                      
22803-Orange Switzerland-CHEOR,23-05-2018,70814,7278                            
23001-T-Mobile Czech-CZERM,23-05-2018,271228,19699                              
23002-Eurotel Praha -CZEET,23-05-2018,814,541                                   
23003-Cesky Mobil -CZECM,23-05-2018,7616,1059                                   
23101-Orange Slovakia-SVKGT,23-05-2018,89145,7337                               
23102-Eurotel Bratislava-SVKET,23-05-2018,71436,5762                            
